INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 46400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 1.5, actual clock drifts: [0.2967883674255747, 0.9852714749445917, 0.2897844989296319, 1.2372057183335912, -1.2279372352054783, -1.4328407257532767, -1.2010307044489303, 1.240202365574266, -0.3712930744008922, -1.4184710452515739]
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [0, 0, 0, 3, 0, 0, 0, 0, 0, 0], "hlc": [921211, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [3, 0, 1, 0, 7, 0, 0, 2, 0, 3], "hlc": [921209, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [0, 0, 0, 0, 0, 0, 6, 4, 1, 0], "hlc": [921209, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [1, 0, 0, 0, 0, 4, 5, 10, 1, 0], "hlc": [921211, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [2, 0, 1, 0, 0, 0, 2, 1, 7, 4], "hlc": [921210, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [1, 0, 1, 0, 0, 4, 1, 7, 1, 7], "hlc": [921210, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [7, 0, 1, 0, 7, 4, 2, 8, 5, 4], "hlc": [921211, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [3, 6, 8, 2, 6, 3, 2, 2, 7, 4], "hlc": [921211, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [6, 0, 1, 0, 8, 4, 2, 8, 5, 4], "hlc": [921211, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [2, 3, 4, 2, 1, 12, 5, 10, 6, 5], "hlc": [921211, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [2, 3, 4, 2, 1, 13, 5, 10, 6, 7], "hlc": [921211, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [3, 8, 4, 2, 6, 11, 7, 6, 6, 5], "hlc": [921211, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [1, 0, 0, 3, 0, 4, 5, 11, 1, 0], "hlc": [921212, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [1, 0, 1, 0, 0, 4, 6, 7, 1, 8], "hlc": [921210, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [8, 0, 1, 0, 7, 4, 2, 8, 5, 4], "hlc": [921211, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [3, 6, 9, 2, 6, 3, 2, 2, 7, 4], "hlc": [921211, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [0, 0, 0, 4, 0, 0, 0, 0, 0, 0], "hlc": [921212, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [6, 0, 1, 0, 9, 4, 2, 8, 5, 4], "hlc": [921211, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [2, 3, 4, 2, 1, 14, 5, 10, 6, 7], "hlc": [921211, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [3, 8, 4, 2, 6, 11, 8, 6, 6, 5], "hlc": [921211, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [1, 0, 0, 3, 0, 4, 5, 12, 1, 0], "hlc": [921212, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [3, 9, 4, 2, 6, 11, 8, 6, 6, 5], "hlc": [921212, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [3, 10, 4, 3, 6, 11, 8, 12, 6, 5], "hlc": [921212, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [2, 3, 4, 4, 1, 15, 5, 10, 6, 7], "hlc": [921212, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [3, 8, 9, 2, 6, 11, 9, 6, 7, 5], "hlc": [921211, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [3, 8, 9, 2, 6, 14, 10, 10, 7, 7], "hlc": [921211, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [8, 0, 1, 3, 7, 4, 5, 13, 5, 4], "hlc": [921212, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [6, 0, 1, 0, 9, 4, 6, 8, 5, 9], "hlc": [921211, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [3, 6, 10, 2, 6, 3, 2, 2, 7, 4], "hlc": [921211, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [0, 0, 0, 5, 0, 0, 0, 0, 0, 0], "hlc": [921212, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [3, 8, 9, 2, 6, 14, 11, 10, 7, 7], "hlc": [921211, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [8, 0, 1, 3, 7, 4, 5, 14, 5, 4], "hlc": [921212, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [2, 0, 1, 0, 0, 0, 2, 1, 8, 4], "hlc": [921211, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [3, 11, 10, 3, 6, 11, 8, 12, 7, 5], "hlc": [921213, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [3, 8, 9, 6, 6, 14, 11, 10, 7, 7], "hlc": [921213, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [8, 8, 9, 7, 7, 14, 11, 14, 7, 7], "hlc": [921213, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [2, 3, 4, 4, 1, 16, 5, 10, 8, 7], "hlc": [921212, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [8, 0, 1, 5, 7, 4, 5, 15, 5, 4], "hlc": [921213, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [3, 12, 10, 3, 6, 11, 8, 12, 7, 5], "hlc": [921213, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [3, 6, 11, 2, 6, 3, 2, 2, 7, 4], "hlc": [921212, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [6, 0, 1, 0, 10, 4, 2, 8, 5, 4], "hlc": [921211, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [2, 0, 1, 0, 0, 0, 2, 1, 9, 4], "hlc": [921211, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [6, 0, 1, 0, 9, 4, 6, 8, 5, 10], "hlc": [921211, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [3, 13, 10, 3, 6, 11, 8, 12, 9, 5], "hlc": [921213, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [6, 6, 12, 2, 10, 4, 2, 8, 7, 4], "hlc": [921212, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [8, 12, 10, 8, 7, 14, 11, 14, 7, 7], "hlc": [921213, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [6, 0, 1, 0, 11, 4, 6, 8, 5, 10], "hlc": [921211, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [3, 8, 11, 2, 6, 14, 12, 10, 7, 7], "hlc": [921212, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [9, 0, 1, 0, 7, 4, 2, 8, 5, 4], "hlc": [921212, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [3, 14, 10, 3, 6, 11, 8, 12, 9, 5], "hlc": [921213, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [6, 6, 13, 2, 10, 4, 2, 8, 7, 4], "hlc": [921212, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [8, 12, 10, 9, 7, 14, 11, 14, 7, 7], "hlc": [921213, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [6, 0, 1, 0, 12, 4, 6, 8, 5, 10], "hlc": [921211, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [2, 3, 4, 4, 1, 17, 5, 10, 8, 7], "hlc": [921212, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [8, 0, 1, 5, 7, 4, 5, 16, 5, 4], "hlc": [921213, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [2, 0, 1, 0, 0, 0, 2, 1, 10, 4], "hlc": [921212, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [6, 0, 1, 0, 9, 4, 6, 8, 5, 11], "hlc": [921211, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [6, 15, 13, 3, 10, 11, 8, 12, 9, 5], "hlc": [921214, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [6, 16, 13, 3, 10, 11, 8, 12, 9, 11], "hlc": [921214, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [9, 12, 10, 10, 7, 14, 11, 14, 7, 7], "hlc": [921214, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [9, 12, 10, 11, 7, 14, 11, 14, 10, 7], "hlc": [921214, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [6, 3, 4, 4, 13, 17, 6, 10, 8, 10], "hlc": [921212, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [3, 14, 11, 3, 6, 14, 13, 12, 9, 7], "hlc": [921213, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [8, 14, 11, 9, 7, 14, 14, 14, 9, 7], "hlc": [921213, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [8, 14, 11, 9, 7, 14, 15, 16, 9, 7], "hlc": [921213, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [8, 0, 1, 5, 12, 4, 6, 17, 5, 10], "hlc": [921214, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [6, 17, 13, 3, 10, 11, 8, 12, 9, 11], "hlc": [921214, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [6, 6, 14, 2, 10, 4, 2, 8, 7, 4], "hlc": [921213, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [6, 3, 4, 4, 14, 17, 6, 10, 8, 10], "hlc": [921212, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [8, 14, 11, 9, 7, 14, 16, 16, 9, 7], "hlc": [921213, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [9, 17, 13, 12, 10, 14, 11, 14, 10, 11], "hlc": [921214, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [9, 17, 13, 13, 10, 14, 16, 16, 10, 11], "hlc": [921214, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [6, 3, 4, 4, 14, 18, 6, 10, 8, 10], "hlc": [921212, 6]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [8, 14, 14, 9, 10, 14, 17, 16, 9, 7], "hlc": [921213, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [6, 18, 13, 3, 10, 11, 8, 12, 9, 11], "hlc": [921214, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [6, 6, 15, 2, 10, 4, 2, 8, 7, 4], "hlc": [921213, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [6, 3, 4, 4, 15, 17, 6, 10, 8, 10], "hlc": [921212, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [6, 3, 4, 4, 14, 19, 6, 10, 8, 10], "hlc": [921212, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [8, 14, 14, 9, 10, 14, 18, 16, 9, 7], "hlc": [921213, 9]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [2, 0, 1, 0, 0, 0, 2, 1, 11, 4], "hlc": [921213, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [6, 0, 1, 0, 9, 4, 6, 8, 5, 12], "hlc": [921212, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [8, 19, 14, 9, 10, 14, 18, 16, 9, 11], "hlc": [921215, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [8, 20, 14, 9, 10, 14, 18, 16, 11, 11], "hlc": [921215, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [6, 6, 15, 4, 16, 17, 6, 10, 8, 10], "hlc": [921213, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [6, 6, 15, 4, 17, 19, 6, 10, 8, 10], "hlc": [921213, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [6, 18, 13, 4, 14, 20, 8, 12, 9, 11], "hlc": [921214, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [6, 18, 13, 4, 15, 21, 8, 12, 9, 11], "hlc": [921214, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [6, 0, 1, 0, 9, 4, 6, 8, 12, 12], "hlc": [921213, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [10, 0, 1, 0, 7, 4, 2, 8, 5, 4], "hlc": [921214, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [8, 21, 14, 9, 10, 14, 18, 16, 11, 11], "hlc": [921215, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [6, 6, 16, 2, 10, 4, 2, 8, 7, 4], "hlc": [921214, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [6, 0, 1, 0, 9, 4, 6, 8, 13, 12], "hlc": [921213, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [6, 0, 1, 0, 9, 4, 6, 8, 5, 13], "hlc": [921212, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [11, 0, 1, 0, 9, 4, 6, 8, 5, 13], "hlc": [921214, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [10, 6, 17, 2, 10, 4, 2, 8, 7, 4], "hlc": [921214, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [10, 6, 18, 2, 10, 4, 6, 8, 13, 12], "hlc": [921214, 2]}
