INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 49400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [1.3484901519573986, -2.3859834006511313, 2.2389229927111245, -0.792183923213754, -1.0718442932344963, -1.116559109844184, -2.1709045751900122, -0.32028555885919374, 0.127823842933803, 1.2834751534718984]
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [1, 1, 0, 1, 0, 3, 0, 7, 0, 3], "hlc": [921525, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [0, 0, 0, 2, 2, 0, 7, 1, 6, 0], "hlc": [921526, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [0, 1, 3, 4, 3, 7, 0, 1, 3, 8], "hlc": [921527, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [5, 2, 1, 8, 3, 12, 6, 1, 4, 6], "hlc": [921528, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [6, 10, 1, 8, 3, 12, 10, 6, 4, 6], "hlc": [921528, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [1, 12, 1, 9, 2, 4, 6, 6, 2, 4], "hlc": [921526, 8]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [4, 2, 4, 0, 0, 0, 0, 0, 3, 0], "hlc": [921528, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [3, 9, 1, 10, 7, 4, 6, 6, 2, 4], "hlc": [921526, 8]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [3, 9, 1, 6, 8, 4, 7, 6, 6, 4], "hlc": [921526, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [3, 9, 3, 6, 9, 7, 7, 6, 6, 8], "hlc": [921527, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [1, 1, 1, 8, 3, 13, 6, 7, 4, 6], "hlc": [921527, 4]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [1, 11, 0, 2, 2, 4, 7, 6, 7, 4], "hlc": [921526, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [7, 10, 1, 8, 3, 12, 10, 6, 4, 6], "hlc": [921528, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [4, 2, 5, 0, 0, 0, 0, 0, 3, 0], "hlc": [921528, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [3, 9, 1, 11, 7, 4, 6, 6, 2, 4], "hlc": [921526, 9]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [1, 1, 1, 8, 3, 14, 6, 7, 4, 6], "hlc": [921527, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [1, 10, 1, 4, 3, 8, 11, 6, 2, 4], "hlc": [921526, 9]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [1, 1, 0, 1, 0, 3, 0, 8, 0, 3], "hlc": [921526, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [1, 13, 1, 9, 2, 4, 6, 8, 2, 4], "hlc": [921526, 9]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [7, 10, 6, 8, 3, 12, 10, 6, 4, 6], "hlc": [921529, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [7, 10, 7, 8, 3, 14, 10, 7, 4, 6], "hlc": [921529, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [3, 9, 3, 11, 10, 7, 7, 6, 6, 8], "hlc": [921527, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [3, 10, 3, 11, 11, 8, 11, 6, 6, 8], "hlc": [921527, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [4, 2, 5, 8, 3, 15, 6, 7, 4, 6], "hlc": [921528, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [8, 10, 1, 8, 3, 12, 10, 6, 4, 6], "hlc": [921528, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [1, 14, 1, 9, 2, 4, 6, 8, 2, 4], "hlc": [921526, 10]}
