INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [-3.9512723402734222, -4.148937916848881, -0.9329400316327217, -4.297257875238561, 1.0199080657976616, -1.292235710970556, 2.033855390776285, -4.105479859037723, 0.6778040998091814, 7.056106039397859]
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [0, 8, 10, 0, 6, 7, 1, 6, 1, 3], "hlc": [921710, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [0, 6, 1, 5, 0, 2, 5, 0, 0, 1], "hlc": [921709, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [0, 5, 7, 0, 1, 8, 1, 3, 1, 3], "hlc": [921710, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [5, 4, 4, 0, 4, 1, 6, 1, 0, 5], "hlc": [921711, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [2, 4, 6, 1, 5, 3, 3, 7, 7, 1], "hlc": [921709, 9]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [0, 8, 11, 0, 6, 7, 1, 6, 1, 3], "hlc": [921710, 9]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [2, 4, 6, 1, 5, 3, 3, 8, 7, 1], "hlc": [921709, 10]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [2, 1, 0, 1, 0, 3, 3, 0, 8, 0], "hlc": [921706, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 4, 4, 3, 4, 2, 0, 1, 0, 7], "hlc": [921712, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [6, 4, 4, 1, 4, 3, 4, 1, 8, 5], "hlc": [921711, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [2, 5, 7, 1, 5, 9, 3, 8, 7, 3], "hlc": [921710, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [2, 5, 7, 3, 5, 10, 3, 8, 7, 7], "hlc": [921712, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [5, 8, 11, 0, 6, 7, 7, 6, 1, 5], "hlc": [921711, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [0, 9, 1, 0, 0, 7, 1, 3, 0, 3], "hlc": [921710, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [0, 6, 1, 6, 0, 2, 5, 0, 0, 1], "hlc": [921709, 7]}
