INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [4.118339347654729, 5.697516715882557, -5.709503533408842, 3.70384475669621, 2.6764642759852357, 3.6623357302487456, -5.6839423151664, 2.2176748197002834, 4.100212361441704, -3.3474575301089993]
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [0, 0, 3, 1, 0, 0, 0, 9, 5, 8], "hlc": [921693, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [9, 1, 3, 1, 5, 0, 2, 5, 5, 11], "hlc": [921694, 3]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [0, 6, 4, 3, 7, 0, 1, 9, 5, 8], "hlc": [921697, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [9, 1, 3, 13, 5, 6, 2, 8, 5, 11], "hlc": [921695, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [7, 4, 8, 7, 13, 0, 4, 6, 8, 1], "hlc": [921696, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [4, 1, 3, 4, 10, 8, 9, 5, 6, 9], "hlc": [921695, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [8, 1, 3, 12, 9, 6, 10, 8, 6, 9], "hlc": [921694, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [9, 5, 4, 3, 7, 0, 2, 5, 5, 12], "hlc": [921696, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [0, 7, 4, 3, 7, 0, 1, 9, 5, 8], "hlc": [921697, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [0, 4, 9, 7, 7, 0, 1, 6, 0, 1], "hlc": [921696, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [9, 1, 3, 14, 5, 6, 2, 8, 5, 11], "hlc": [921695, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [7, 4, 8, 7, 14, 0, 4, 6, 8, 1], "hlc": [921696, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [4, 1, 3, 4, 10, 9, 9, 5, 6, 9], "hlc": [921695, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [8, 1, 3, 12, 9, 6, 11, 8, 6, 9], "hlc": [921694, 7]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [9, 5, 4, 3, 7, 0, 2, 5, 5, 13], "hlc": [921696, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [12, 1, 3, 14, 12, 6, 4, 8, 8, 11], "hlc": [921696, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [0, 8, 9, 7, 7, 0, 1, 9, 5, 8], "hlc": [921697, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [9, 1, 3, 15, 10, 9, 9, 8, 6, 11], "hlc": [921695, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [9, 5, 8, 7, 15, 0, 4, 6, 8, 13], "hlc": [921696, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [7, 4, 8, 7, 14, 0, 4, 10, 8, 8], "hlc": [921696, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [8, 4, 8, 12, 14, 6, 11, 11, 8, 9], "hlc": [921696, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [7, 7, 4, 3, 7, 0, 2, 9, 9, 8], "hlc": [921697, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [4, 1, 3, 4, 10, 10, 9, 5, 6, 9], "hlc": [921695, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [8, 1, 3, 12, 9, 6, 12, 8, 6, 9], "hlc": [921694, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [9, 1, 3, 16, 10, 9, 12, 8, 6, 11], "hlc": [921696, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [8, 1, 3, 12, 10, 10, 13, 8, 6, 9], "hlc": [921695, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [0, 4, 10, 7, 7, 0, 1, 6, 0, 1], "hlc": [921696, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [9, 5, 8, 7, 16, 0, 4, 6, 8, 13], "hlc": [921696, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [8, 1, 3, 12, 10, 10, 14, 8, 6, 9], "hlc": [921695, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [8, 4, 8, 12, 14, 6, 11, 12, 8, 9], "hlc": [921696, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [7, 7, 4, 3, 7, 0, 2, 9, 10, 8], "hlc": [921697, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [9, 5, 4, 3, 7, 0, 2, 5, 5, 14], "hlc": [921696, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [8, 4, 11, 12, 10, 10, 14, 8, 6, 9], "hlc": [921696, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [9, 5, 8, 7, 16, 11, 9, 6, 8, 13], "hlc": [921696, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [9, 5, 8, 7, 16, 12, 9, 6, 8, 14], "hlc": [921696, 8]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [8, 4, 8, 12, 14, 10, 15, 12, 8, 9], "hlc": [921696, 8]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [8, 7, 8, 12, 14, 6, 11, 13, 10, 9], "hlc": [921697, 4]}
