INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 41900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [-0.41611347666091447, 9.240202938529617, 6.789142363134719, -3.4488543067980437, -4.875205162554888, -2.215716365995857, -6.407023892982044, -8.280528279365639, 0.34407968079160867, 9.414028019743899]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [13, 6, 4, 8, 11, 4, 7, 12, 6, 9], "hlc": [921740, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [8, 10, 4, 0, 9, 4, 1, 0, 4, 5], "hlc": [921741, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [4, 1, 9, 0, 6, 7, 1, 0, 1, 5], "hlc": [921739, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [0, 2, 0, 12, 2, 4, 5, 6, 7, 0], "hlc": [921738, 10]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [5, 6, 8, 6, 6, 7, 6, 14, 6, 9], "hlc": [921740, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [0, 2, 0, 6, 2, 4, 8, 4, 10, 0], "hlc": [921738, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [8, 8, 4, 4, 9, 4, 1, 0, 4, 11], "hlc": [921741, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [14, 6, 4, 12, 11, 4, 7, 12, 7, 9], "hlc": [921740, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [13, 6, 4, 13, 11, 4, 7, 12, 7, 9], "hlc": [921740, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [8, 10, 4, 11, 14, 4, 7, 6, 7, 5], "hlc": [921741, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [8, 9, 8, 6, 9, 9, 6, 14, 6, 9], "hlc": [921740, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [4, 2, 9, 6, 6, 7, 10, 4, 9, 5], "hlc": [921739, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [8, 8, 9, 6, 9, 7, 11, 4, 9, 11], "hlc": [921741, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [5, 6, 8, 6, 6, 7, 8, 15, 10, 9], "hlc": [921740, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [15, 6, 4, 12, 11, 4, 7, 12, 7, 9], "hlc": [921740, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [13, 6, 4, 14, 11, 4, 7, 12, 7, 9], "hlc": [921740, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [8, 9, 8, 6, 9, 10, 6, 14, 6, 9], "hlc": [921740, 6]}
