INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [3.1756500833812833, 1.9981189640440622, 5.023723171009705, 1.2370294801019428, 2.8048445978807557, 1.2985883444248127, 1.5591785532180946, 0.2557504640536923, 5.172028960143978, -4.642300686874303]
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [1, 5, 0, 1, 11, 4, 1, 1, 2, 4], "hlc": [921693, 8]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [0, 0, 0, 0, 12, 4, 4, 1, 2, 4], "hlc": [921693, 9]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [1, 4, 0, 1, 0, 0, 0, 0, 3, 0], "hlc": [921695, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [6, 0, 1, 5, 6, 2, 2, 6, 1, 7], "hlc": [921693, 9]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [8, 0, 3, 4, 6, 1, 2, 2, 1, 1], "hlc": [921694, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [1, 6, 0, 1, 11, 4, 1, 1, 2, 4], "hlc": [921693, 9]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [1, 3, 0, 7, 0, 0, 2, 0, 0, 1], "hlc": [921691, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [0, 0, 0, 0, 13, 4, 4, 1, 2, 4], "hlc": [921693, 10]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [3, 0, 0, 0, 1, 6, 0, 1, 0, 0], "hlc": [921691, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [0, 0, 0, 0, 10, 4, 5, 1, 2, 4], "hlc": [921693, 9]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [6, 0, 1, 5, 6, 2, 2, 6, 1, 8], "hlc": [921693, 10]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [9, 0, 3, 4, 10, 4, 5, 2, 2, 4], "hlc": [921694, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [1, 7, 0, 7, 11, 4, 2, 1, 2, 4], "hlc": [921693, 10]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [8, 0, 4, 4, 6, 1, 2, 2, 1, 1], "hlc": [921695, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [8, 0, 5, 5, 6, 2, 2, 6, 1, 8], "hlc": [921695, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [1, 6, 0, 8, 11, 4, 2, 1, 2, 4], "hlc": [921693, 10]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [3, 6, 0, 9, 11, 6, 2, 1, 2, 4], "hlc": [921693, 11]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [3, 0, 0, 0, 13, 7, 4, 1, 2, 4], "hlc": [921693, 11]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [0, 0, 0, 0, 14, 4, 4, 1, 2, 4], "hlc": [921693, 11]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [3, 0, 0, 0, 13, 8, 4, 1, 2, 4], "hlc": [921693, 12]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [6, 0, 0, 5, 6, 1, 2, 7, 1, 1], "hlc": [921693, 9]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [1, 4, 0, 1, 0, 0, 0, 0, 4, 0], "hlc": [921695, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [6, 0, 1, 5, 6, 2, 2, 6, 1, 9], "hlc": [921693, 11]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [10, 4, 3, 4, 10, 4, 5, 2, 4, 4], "hlc": [921695, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [6, 0, 0, 5, 15, 4, 4, 7, 2, 4], "hlc": [921694, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [6, 0, 1, 5, 16, 4, 4, 7, 2, 9], "hlc": [921694, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [0, 0, 0, 0, 14, 4, 6, 1, 2, 4], "hlc": [921693, 12]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [6, 0, 0, 5, 13, 8, 4, 8, 2, 4], "hlc": [921693, 13]}
