INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 47000, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [4.648863593844599, 2.9378035743289743, -9.206817491300141, 2.928536986528215, 6.329851417819398, 8.487552901438164, 0.09867814632269045, -7.331753829341031, -5.6506721372380095, -7.557279587484457]
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [0, 6, 0, 0, 0, 0, 0, 4, 1, 0], "hlc": [921746, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [2, 0, 1, 0, 6, 2, 0, 0, 0, 1], "hlc": [921749, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [4, 5, 1, 0, 3, 2, 4, 4, 3, 1], "hlc": [921749, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [0, 2, 0, 6, 1, 3, 0, 8, 4, 7], "hlc": [921750, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [7, 6, 1, 0, 3, 2, 0, 4, 1, 1], "hlc": [921749, 8]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [2, 3, 8, 1, 6, 5, 0, 1, 5, 1], "hlc": [921750, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [2, 3, 9, 6, 6, 5, 0, 8, 5, 7], "hlc": [921750, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [6, 3, 7, 4, 3, 8, 0, 7, 7, 1], "hlc": [921752, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [4, 5, 1, 4, 3, 2, 4, 7, 9, 4], "hlc": [921749, 9]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [8, 6, 1, 0, 3, 2, 0, 4, 1, 1], "hlc": [921749, 9]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [0, 0, 0, 7, 0, 3, 0, 3, 1, 1], "hlc": [921750, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [2, 0, 1, 0, 7, 2, 0, 0, 0, 1], "hlc": [921750, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [6, 3, 7, 4, 3, 9, 0, 7, 7, 1], "hlc": [921752, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [4, 5, 1, 0, 3, 2, 5, 4, 3, 1], "hlc": [921749, 9]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [5, 0, 1, 4, 5, 2, 0, 11, 4, 1], "hlc": [921749, 9]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [4, 5, 1, 4, 3, 2, 4, 7, 10, 4], "hlc": [921749, 10]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 2, 0, 6, 1, 3, 0, 8, 4, 8], "hlc": [921750, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [0, 7, 0, 7, 0, 3, 0, 4, 1, 1], "hlc": [921750, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [6, 8, 7, 7, 3, 9, 0, 7, 7, 1], "hlc": [921752, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [4, 5, 10, 6, 6, 5, 5, 8, 5, 7], "hlc": [921750, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [2, 0, 1, 8, 7, 3, 0, 3, 1, 1], "hlc": [921750, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [6, 3, 7, 4, 5, 10, 0, 11, 7, 1], "hlc": [921752, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [6, 3, 7, 6, 5, 11, 0, 11, 7, 8], "hlc": [921752, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [4, 5, 1, 4, 3, 2, 6, 7, 10, 4], "hlc": [921749, 11]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [8, 6, 1, 6, 3, 3, 0, 8, 4, 9], "hlc": [921750, 7]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [4, 5, 11, 6, 6, 5, 5, 8, 5, 7], "hlc": [921750, 9]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [2, 0, 1, 9, 7, 3, 0, 3, 1, 1], "hlc": [921750, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [4, 5, 1, 4, 3, 2, 7, 7, 10, 4], "hlc": [921749, 12]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [4, 5, 1, 4, 3, 2, 4, 7, 11, 4], "hlc": [921749, 11]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [8, 6, 1, 6, 3, 3, 0, 8, 4, 10], "hlc": [921750, 8]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [9, 6, 11, 6, 6, 5, 5, 8, 5, 7], "hlc": [921750, 10]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [6, 9, 7, 7, 3, 9, 7, 7, 10, 4], "hlc": [921752, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [8, 6, 7, 6, 5, 12, 0, 11, 7, 10], "hlc": [921753, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [4, 5, 1, 9, 7, 3, 4, 7, 12, 4], "hlc": [921750, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [8, 6, 1, 6, 3, 3, 4, 8, 11, 11], "hlc": [921750, 9]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [10, 6, 11, 6, 6, 5, 5, 8, 5, 7], "hlc": [921750, 11]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [4, 5, 12, 6, 6, 5, 5, 8, 5, 7], "hlc": [921750, 10]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [2, 0, 1, 10, 7, 3, 0, 3, 1, 1], "hlc": [921750, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [2, 0, 1, 0, 8, 2, 0, 0, 0, 1], "hlc": [921751, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [8, 6, 7, 6, 5, 13, 0, 11, 7, 10], "hlc": [921753, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [8, 6, 1, 6, 3, 3, 4, 8, 11, 12], "hlc": [921750, 10]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [11, 6, 12, 6, 6, 5, 5, 8, 5, 7], "hlc": [921750, 12]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [12, 6, 12, 6, 8, 5, 5, 8, 5, 7], "hlc": [921751, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [10, 6, 11, 6, 6, 14, 5, 11, 7, 10], "hlc": [921753, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [10, 6, 11, 10, 7, 15, 5, 11, 7, 10], "hlc": [921753, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [8, 6, 7, 9, 7, 13, 4, 11, 13, 10], "hlc": [921753, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [8, 6, 7, 9, 7, 13, 4, 11, 14, 12], "hlc": [921753, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [13, 6, 12, 6, 8, 5, 5, 8, 5, 7], "hlc": [921751, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [6, 10, 7, 7, 3, 9, 7, 7, 10, 4], "hlc": [921752, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [13, 6, 12, 6, 8, 5, 8, 8, 10, 7], "hlc": [921751, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [6, 10, 7, 7, 5, 9, 7, 12, 10, 4], "hlc": [921752, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [2, 0, 1, 11, 7, 3, 0, 3, 1, 1], "hlc": [921750, 7]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [10, 6, 11, 10, 7, 16, 5, 11, 7, 10], "hlc": [921754, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [13, 6, 12, 6, 8, 5, 9, 8, 10, 7], "hlc": [921751, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [8, 6, 7, 9, 7, 13, 4, 11, 15, 12], "hlc": [921753, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [8, 6, 7, 12, 7, 13, 4, 11, 15, 12], "hlc": [921753, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [10, 6, 11, 10, 9, 16, 5, 11, 7, 10], "hlc": [921754, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [10, 6, 11, 11, 7, 17, 5, 11, 7, 10], "hlc": [921754, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [13, 6, 12, 11, 8, 18, 9, 11, 10, 10], "hlc": [921754, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [14, 6, 12, 6, 8, 5, 5, 8, 5, 7], "hlc": [921751, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [6, 11, 7, 7, 3, 9, 7, 7, 10, 4], "hlc": [921752, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [4, 5, 13, 6, 6, 5, 5, 8, 5, 7], "hlc": [921750, 11]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [8, 6, 7, 13, 7, 13, 4, 11, 15, 12], "hlc": [921753, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [10, 6, 11, 10, 10, 16, 5, 11, 7, 10], "hlc": [921754, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [13, 6, 12, 11, 8, 19, 9, 11, 10, 10], "hlc": [921754, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [6, 10, 7, 7, 5, 9, 7, 13, 10, 4], "hlc": [921752, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [8, 6, 7, 9, 7, 13, 4, 11, 16, 12], "hlc": [921753, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [15, 6, 13, 6, 8, 5, 5, 8, 5, 7], "hlc": [921751, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [6, 12, 7, 7, 5, 9, 7, 13, 10, 4], "hlc": [921752, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [8, 13, 7, 9, 7, 13, 7, 13, 16, 12], "hlc": [921753, 6]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [13, 6, 12, 10, 10, 16, 10, 11, 10, 10], "hlc": [921754, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [13, 10, 12, 11, 8, 19, 9, 14, 10, 10], "hlc": [921754, 4]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [14, 6, 12, 9, 8, 13, 5, 11, 17, 12], "hlc": [921753, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [14, 11, 12, 9, 8, 13, 7, 11, 18, 12], "hlc": [921753, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [8, 6, 7, 13, 7, 13, 4, 11, 15, 13], "hlc": [921753, 7]}
