INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 46300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [7.585987728563396, 1.6008081178491516, 6.979053081027349, -7.010896705543091, -1.2409630720320397, 4.269954115470581, 1.294701968697499, 3.6050461764102018, 7.776180883511692, 5.414677225620519]
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [2, 1, 0, 5, 0, 5, 2, 4, 5, 0], "hlc": [921725, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [1, 6, 4, 1, 0, 3, 9, 1, 0, 5], "hlc": [921723, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [2, 0, 0, 4, 0, 0, 0, 5, 0, 0], "hlc": [921723, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [7, 1, 2, 2, 6, 5, 4, 4, 6, 2], "hlc": [921725, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [1, 2, 0, 0, 0, 7, 2, 0, 0, 6], "hlc": [921723, 6]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [10, 9, 2, 1, 8, 6, 4, 1, 3, 4], "hlc": [921725, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [0, 6, 7, 3, 0, 3, 7, 1, 0, 0], "hlc": [921724, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [2, 1, 0, 6, 0, 5, 2, 4, 5, 0], "hlc": [921725, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [3, 2, 2, 0, 9, 1, 4, 0, 1, 4], "hlc": [921724, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [1, 6, 4, 1, 0, 3, 10, 1, 0, 5], "hlc": [921723, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [7, 1, 2, 2, 6, 5, 4, 4, 7, 2], "hlc": [921725, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [1, 2, 0, 0, 0, 7, 2, 0, 0, 7], "hlc": [921723, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [11, 9, 7, 3, 8, 6, 7, 1, 3, 4], "hlc": [921726, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [12, 9, 7, 3, 8, 7, 7, 1, 3, 7], "hlc": [921726, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [7, 10, 2, 2, 6, 6, 4, 4, 7, 2], "hlc": [921725, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [10, 9, 8, 3, 8, 6, 7, 1, 3, 4], "hlc": [921725, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [10, 9, 9, 3, 9, 6, 7, 1, 3, 4], "hlc": [921725, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [2, 6, 4, 6, 0, 5, 11, 4, 5, 5], "hlc": [921725, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [2, 6, 4, 4, 0, 3, 10, 6, 0, 5], "hlc": [921723, 8]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [13, 9, 7, 3, 8, 7, 7, 1, 3, 7], "hlc": [921726, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [7, 11, 2, 2, 6, 6, 4, 4, 7, 2], "hlc": [921725, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [2, 1, 0, 7, 0, 5, 2, 4, 5, 0], "hlc": [921725, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [3, 2, 2, 0, 10, 1, 4, 0, 1, 4], "hlc": [921724, 7]}
