INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 4.5, actual clock drifts: [1.5853754317394593, -1.3335141806563184, 2.7697655542192043, -1.0248469125339996, -0.3289080402695186, 2.6893198594934873, -2.973326545200625, 4.037019997055346, 1.7866022384000537, -3.4694807048440857]
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [7, 7, 5, 1, 5, 15, 9, 7, 3, 4], "hlc": [921557, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [6, 11, 6, 1, 5, 12, 6, 6, 7, 3], "hlc": [921557, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [6, 11, 8, 3, 8, 12, 6, 6, 8, 3], "hlc": [921557, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [9, 2, 0, 0, 0, 0, 0, 0, 2, 2], "hlc": [921555, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [6, 13, 6, 3, 10, 12, 6, 5, 5, 3], "hlc": [921556, 11]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [2, 0, 1, 7, 1, 4, 3, 0, 0, 1], "hlc": [921553, 9]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [7, 7, 5, 1, 5, 16, 9, 7, 3, 4], "hlc": [921557, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [7, 7, 5, 1, 5, 8, 10, 1, 2, 2], "hlc": [921555, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [1, 1, 4, 1, 4, 7, 0, 8, 0, 0], "hlc": [921558, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [6, 11, 8, 3, 8, 12, 6, 6, 9, 3], "hlc": [921557, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [2, 0, 1, 5, 1, 4, 3, 0, 0, 7], "hlc": [921553, 10]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [8, 2, 4, 6, 13, 7, 3, 8, 5, 3], "hlc": [921558, 1]}
