INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [2.691747569997812, 5.766260455693281, 1.8248642289621273, 5.910631307849949, 2.0275529149367966, -0.32321109747315546, 3.9098515593894163, 2.0810472525036445, 2.590956422298211, 1.5587843491192945]
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [5, 4, 8, 6, 9, 6, 3, 2, 3, 10], "hlc": [921696, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [7, 3, 1, 1, 1, 0, 5, 7, 0, 0], "hlc": [921694, 8]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [7, 2, 5, 5, 1, 0, 1, 8, 3, 0], "hlc": [921696, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [5, 5, 12, 3, 9, 6, 3, 2, 1, 11], "hlc": [921695, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [5, 5, 12, 3, 10, 6, 3, 2, 1, 12], "hlc": [921695, 8]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [8, 0, 1, 1, 1, 0, 1, 5, 0, 0], "hlc": [921694, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [4, 7, 3, 0, 5, 2, 0, 1, 1, 7], "hlc": [921696, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [4, 5, 13, 3, 1, 4, 0, 2, 1, 5], "hlc": [921695, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [5, 4, 3, 0, 11, 2, 3, 1, 0, 1], "hlc": [921695, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [7, 2, 5, 5, 1, 0, 1, 9, 3, 0], "hlc": [921696, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [0, 3, 5, 0, 0, 0, 4, 2, 5, 0], "hlc": [921694, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [8, 5, 14, 3, 1, 4, 1, 5, 1, 5], "hlc": [921695, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [8, 5, 15, 3, 11, 4, 3, 5, 1, 5], "hlc": [921695, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [8, 5, 16, 5, 11, 4, 3, 9, 3, 5], "hlc": [921696, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [5, 4, 5, 0, 12, 2, 4, 2, 5, 1], "hlc": [921695, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [4, 5, 13, 3, 1, 7, 0, 2, 1, 5], "hlc": [921695, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [5, 7, 12, 3, 10, 6, 3, 2, 1, 13], "hlc": [921696, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [9, 0, 1, 1, 1, 0, 1, 5, 0, 0], "hlc": [921694, 7]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [8, 5, 17, 5, 11, 4, 3, 9, 3, 5], "hlc": [921696, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [5, 4, 8, 7, 9, 6, 3, 2, 3, 10], "hlc": [921697, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [5, 4, 5, 0, 13, 2, 4, 2, 5, 1], "hlc": [921695, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [7, 3, 1, 1, 1, 0, 6, 7, 0, 0], "hlc": [921695, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [8, 8, 17, 5, 11, 4, 3, 9, 3, 7], "hlc": [921697, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [8, 5, 18, 7, 11, 6, 3, 9, 3, 10], "hlc": [921697, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [9, 4, 8, 8, 9, 6, 3, 5, 3, 10], "hlc": [921697, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [7, 4, 5, 5, 13, 2, 4, 10, 5, 1], "hlc": [921696, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [7, 7, 12, 3, 10, 6, 6, 7, 1, 14], "hlc": [921696, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [10, 0, 1, 1, 1, 0, 1, 5, 0, 0], "hlc": [921694, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [8, 9, 17, 5, 11, 4, 3, 9, 3, 7], "hlc": [921697, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [8, 5, 19, 7, 11, 6, 3, 9, 3, 10], "hlc": [921697, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [5, 4, 5, 0, 14, 2, 4, 2, 5, 1], "hlc": [921695, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [7, 3, 1, 1, 1, 0, 7, 7, 0, 0], "hlc": [921695, 1]}
