INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 49200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [-1.648203973860975, -0.8455879061870042, -1.1523903140039056, 0.5774083441677309, -2.4247753605919593, 1.4345167296798795, 0.8359340082566358, 1.7717441120057087, -1.821887158946352, -1.6271476050242373]
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [2, 1, 0, 0, 5, 0, 0, 0, 0, 0], "hlc": [921523, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [1, 0, 0, 0, 0, 2, 6, 0, 0, 1], "hlc": [921526, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [1, 1, 0, 0, 3, 3, 0, 6, 0, 0], "hlc": [921527, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 4, 0], "hlc": [921524, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [1, 1, 2, 5, 3, 3, 1, 6, 0, 3], "hlc": [921527, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [1, 4, 6, 1, 2, 7, 6, 1, 3, 5], "hlc": [921527, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [1, 5, 8, 1, 2, 2, 4, 1, 5, 4], "hlc": [921525, 9]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [2, 5, 8, 1, 5, 2, 4, 1, 6, 4], "hlc": [921525, 10]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [5, 0, 0, 0, 0, 3, 5, 4, 0, 6], "hlc": [921526, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [5, 0, 0, 1, 0, 3, 5, 4, 4, 7], "hlc": [921526, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [0, 6, 0, 1, 2, 0, 0, 0, 2, 0], "hlc": [921525, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [1, 4, 6, 1, 2, 8, 6, 1, 3, 5], "hlc": [921527, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [1, 0, 0, 0, 0, 2, 7, 0, 0, 1], "hlc": [921527, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [2, 5, 8, 1, 5, 2, 4, 1, 7, 4], "hlc": [921525, 11]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [1, 6, 2, 6, 3, 3, 1, 6, 2, 3], "hlc": [921527, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [1, 6, 6, 7, 3, 8, 6, 6, 3, 5], "hlc": [921527, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [2, 6, 8, 8, 5, 8, 6, 6, 7, 5], "hlc": [921527, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [2, 1, 0, 0, 6, 2, 7, 0, 0, 1], "hlc": [921527, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [6, 0, 0, 0, 0, 3, 5, 4, 0, 1], "hlc": [921526, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [0, 7, 0, 1, 2, 0, 0, 0, 2, 0], "hlc": [921525, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [1, 5, 9, 1, 2, 2, 4, 1, 2, 4], "hlc": [921525, 9]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [2, 6, 8, 9, 5, 8, 6, 6, 7, 5], "hlc": [921527, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [2, 1, 0, 0, 7, 2, 7, 0, 0, 1], "hlc": [921527, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [1, 4, 6, 1, 2, 9, 6, 1, 3, 5], "hlc": [921528, 0]}
