INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [1.3959306515853207, -3.1334209064736394, -2.056964193643015, -7.460444967501718, -0.6339459155877094, 4.846404761654547, 0.3241498994679839, 5.565218479943878, 1.7825041362752305, 4.448884580952111]
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [3, 3, 13, 5, 6, 5, 2, 5, 1, 4], "hlc": [921709, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [0, 4, 5, 1, 11, 1, 8, 7, 4, 9], "hlc": [921711, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [7, 4, 5, 7, 9, 11, 8, 5, 4, 9], "hlc": [921711, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [0, 4, 5, 1, 0, 1, 9, 1, 4, 9], "hlc": [921709, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [0, 2, 0, 1, 0, 0, 0, 8, 0, 3], "hlc": [921712, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [0, 3, 5, 1, 7, 1, 2, 1, 4, 13], "hlc": [921711, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [8, 4, 5, 7, 9, 11, 8, 5, 4, 9], "hlc": [921711, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [3, 3, 14, 5, 6, 5, 2, 8, 1, 4], "hlc": [921712, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [3, 4, 13, 5, 12, 5, 8, 7, 4, 9], "hlc": [921711, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [3, 4, 13, 5, 13, 5, 8, 7, 4, 13], "hlc": [921711, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [7, 4, 5, 7, 11, 12, 8, 7, 4, 9], "hlc": [921712, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [7, 4, 5, 7, 11, 13, 9, 7, 4, 9], "hlc": [921712, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [0, 7, 7, 3, 4, 1, 10, 1, 7, 9], "hlc": [921709, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [3, 3, 15, 5, 6, 5, 2, 8, 1, 4], "hlc": [921712, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [0, 2, 0, 1, 0, 0, 0, 9, 0, 3], "hlc": [921712, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [0, 3, 5, 1, 7, 1, 2, 1, 4, 14], "hlc": [921711, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [3, 8, 15, 5, 6, 5, 6, 8, 7, 4], "hlc": [921712, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [7, 3, 12, 13, 7, 9, 4, 9, 9, 12], "hlc": [921712, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [7, 3, 12, 14, 7, 9, 4, 9, 9, 14], "hlc": [921712, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [7, 3, 12, 15, 7, 9, 4, 9, 9, 14], "hlc": [921712, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [3, 4, 13, 5, 14, 5, 8, 7, 4, 13], "hlc": [921711, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [0, 7, 7, 3, 4, 1, 11, 1, 7, 9], "hlc": [921709, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [0, 2, 0, 1, 0, 0, 0, 10, 0, 3], "hlc": [921713, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [7, 7, 12, 16, 7, 9, 11, 9, 9, 14], "hlc": [921712, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [7, 4, 5, 7, 11, 14, 9, 10, 4, 9], "hlc": [921713, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [7, 3, 12, 15, 7, 9, 4, 9, 11, 14], "hlc": [921712, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [3, 4, 13, 5, 14, 5, 8, 7, 4, 15], "hlc": [921712, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [9, 4, 5, 7, 9, 11, 8, 5, 4, 9], "hlc": [921711, 5]}
