INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 49100, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [-0.6979859381167541, 0.07343014331900832, 1.7743376290544859, -2.1576582381870546, 1.6639435866490029, 0.4983786059188091, 1.6505752642690705, 0.5750184946118004, -1.7088335991025794, -2.1444228598632984]
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [12, 1, 5, 6, 5, 13, 6, 10, 14, 9], "hlc": [921529, 8]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [16, 8, 5, 9, 9, 16, 9, 10, 13, 9], "hlc": [921530, 7]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [12, 5, 11, 13, 6, 12, 8, 15, 8, 10], "hlc": [921532, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [12, 5, 12, 13, 6, 12, 8, 17, 8, 10], "hlc": [921532, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [13, 1, 5, 14, 12, 10, 8, 16, 8, 10], "hlc": [921531, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [12, 5, 10, 10, 6, 12, 8, 18, 8, 7], "hlc": [921531, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [12, 5, 10, 10, 6, 13, 8, 19, 14, 9], "hlc": [921531, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [13, 5, 9, 9, 10, 13, 14, 10, 15, 9], "hlc": [921531, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [17, 8, 5, 9, 9, 16, 9, 10, 13, 9], "hlc": [921530, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [14, 9, 3, 9, 9, 6, 4, 8, 3, 5], "hlc": [921530, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [12, 5, 13, 13, 6, 12, 8, 17, 8, 10], "hlc": [921532, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [13, 1, 5, 15, 12, 10, 8, 16, 8, 10], "hlc": [921531, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [13, 1, 5, 10, 13, 10, 8, 16, 8, 7], "hlc": [921531, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [14, 8, 5, 9, 9, 17, 6, 10, 13, 9], "hlc": [921530, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [12, 5, 10, 10, 6, 13, 8, 20, 14, 9], "hlc": [921531, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [12, 5, 8, 6, 6, 12, 11, 10, 11, 13], "hlc": [921530, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [18, 8, 13, 13, 9, 16, 9, 17, 13, 10], "hlc": [921532, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [19, 8, 13, 13, 9, 17, 9, 17, 13, 10], "hlc": [921532, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [17, 8, 5, 10, 14, 16, 9, 16, 13, 9], "hlc": [921532, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [17, 8, 8, 10, 15, 16, 11, 16, 13, 13], "hlc": [921532, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [14, 8, 10, 10, 9, 18, 8, 20, 14, 9], "hlc": [921531, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [14, 9, 9, 9, 10, 12, 15, 8, 7, 7], "hlc": [921532, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [14, 9, 9, 15, 12, 12, 16, 16, 8, 10], "hlc": [921532, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [14, 9, 9, 15, 13, 12, 17, 16, 8, 10], "hlc": [921532, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [20, 8, 13, 13, 9, 17, 9, 17, 13, 10], "hlc": [921532, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [14, 10, 3, 9, 9, 6, 4, 8, 3, 5], "hlc": [921530, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [12, 5, 14, 13, 6, 12, 8, 17, 8, 10], "hlc": [921532, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [14, 8, 10, 10, 9, 19, 8, 20, 14, 9], "hlc": [921531, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [12, 5, 10, 10, 6, 13, 8, 21, 14, 9], "hlc": [921531, 5]}
