INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 44300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [1.0429606020280868, 5.919042147848273, -6.419345840661828, -0.515299478874538, 1.967350383842163, 0.10465308786227112, 4.095690795666412, -0.6063859378507788, -4.225248802207043, -0.6938742573471259]
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [3, 7, 0, 0, 2, 1, 0, 4, 1, 1], "hlc": [921695, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [3, 5, 0, 0, 0, 1, 0, 0, 5, 3], "hlc": [921694, 6]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [8, 3, 8, 1, 1, 3, 4, 2, 2, 0], "hlc": [921694, 8]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [0, 3, 9, 0, 1, 1, 4, 2, 2, 0], "hlc": [921694, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [3, 7, 0, 0, 3, 1, 0, 4, 1, 1], "hlc": [921695, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [0, 3, 1, 0, 1, 1, 6, 0, 0, 0], "hlc": [921694, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [0, 0, 0, 0, 0, 0, 0, 5, 0, 1], "hlc": [921689, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [3, 5, 0, 0, 0, 1, 0, 0, 6, 3], "hlc": [921694, 7]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 4], "hlc": [921689, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [3, 9, 0, 0, 0, 1, 0, 5, 4, 1], "hlc": [921696, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [3, 7, 10, 0, 3, 1, 4, 4, 2, 1], "hlc": [921695, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [8, 7, 8, 1, 4, 3, 4, 4, 2, 1], "hlc": [921695, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [0, 0, 0, 1, 0, 5, 0, 0, 0, 4], "hlc": [921690, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [3, 5, 1, 0, 1, 1, 7, 0, 6, 3], "hlc": [921694, 8]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [3, 5, 1, 0, 1, 1, 6, 0, 7, 3], "hlc": [921694, 8]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [0, 3, 9, 0, 1, 1, 4, 2, 2, 5], "hlc": [921694, 8]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [9, 3, 8, 1, 1, 3, 4, 2, 2, 0], "hlc": [921694, 9]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [6, 3, 6, 5, 1, 3, 5, 2, 2, 0], "hlc": [921694, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [8, 7, 8, 1, 5, 3, 4, 4, 2, 1], "hlc": [921695, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [3, 5, 1, 0, 1, 1, 8, 0, 6, 3], "hlc": [921694, 9]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [3, 5, 1, 0, 1, 1, 6, 0, 8, 3], "hlc": [921694, 9]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [10, 3, 8, 5, 1, 3, 5, 2, 2, 0], "hlc": [921694, 10]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [8, 7, 8, 6, 5, 3, 5, 4, 2, 1], "hlc": [921695, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [9, 3, 8, 1, 1, 6, 4, 2, 2, 4], "hlc": [921694, 10]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [3, 5, 1, 0, 1, 1, 8, 6, 6, 3], "hlc": [921694, 10]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [3, 5, 1, 0, 1, 1, 8, 7, 8, 3], "hlc": [921694, 11]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [11, 3, 8, 5, 1, 3, 5, 2, 2, 0], "hlc": [921694, 11]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [3, 7, 11, 0, 3, 1, 4, 4, 2, 1], "hlc": [921695, 5]}
