INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 38300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-1.9694629802370311, 0.9636963798644205, -0.20663985464226187, 2.5281132659094503, 2.4620220661800367, -1.9201098723014, -1.588509226980463, 1.5110462152742876, -2.512903476144471, -1.6050945510807224]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [10, 7, 4, 4, 5, 3, 1, 3, 2, 0], "hlc": [921540, 9]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [0, 10, 6, 0, 1, 1, 3, 3, 2, 0], "hlc": [921541, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [0, 1, 7, 0, 0, 1, 3, 2, 1, 0], "hlc": [921540, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [0, 1, 1, 12, 8, 0, 4, 4, 5, 1], "hlc": [921543, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [0, 0, 1, 1, 9, 0, 1, 0, 0, 1], "hlc": [921543, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [0, 11, 7, 0, 1, 1, 3, 3, 2, 0], "hlc": [921542, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [10, 7, 4, 4, 6, 6, 8, 3, 6, 0], "hlc": [921540, 13]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [10, 10, 6, 4, 6, 6, 9, 3, 6, 0], "hlc": [921541, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [9, 7, 4, 9, 9, 5, 6, 8, 6, 1], "hlc": [921543, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [0, 1, 1, 12, 8, 0, 4, 4, 5, 4], "hlc": [921543, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [11, 7, 4, 4, 5, 3, 1, 3, 2, 0], "hlc": [921540, 10]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [0, 12, 7, 0, 1, 1, 3, 3, 2, 0], "hlc": [921542, 1]}
