INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 38200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [1.912099953686619, 0.9986432319593135, -2.6198438239782686, -3.2048551470878146, -2.446097318752111, 0.13529960420368603, -2.341315832318916, -2.6302020779983644, -0.30803593154872866, 1.524726184511696]
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [0, 9, 11, 2, 3, 4, 3, 7, 4, 4], "hlc": [921540, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [5, 1, 4, 5, 5, 6, 6, 1, 1, 0], "hlc": [921540, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [3, 1, 2, 1, 9, 4, 0, 4, 6, 7], "hlc": [921540, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [3, 2, 9, 1, 5, 8, 0, 1, 4, 2], "hlc": [921539, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [3, 1, 4, 1, 5, 6, 7, 1, 1, 0], "hlc": [921539, 9]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [0, 7, 8, 2, 3, 4, 3, 10, 4, 4], "hlc": [921539, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [3, 1, 2, 1, 7, 4, 0, 4, 6, 9], "hlc": [921541, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [0, 11, 11, 2, 3, 4, 3, 7, 4, 4], "hlc": [921541, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [3, 9, 12, 2, 9, 4, 3, 7, 6, 7], "hlc": [921540, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [3, 9, 13, 2, 9, 4, 3, 10, 6, 7], "hlc": [921540, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [5, 10, 7, 6, 5, 6, 6, 7, 4, 4], "hlc": [921540, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [5, 1, 4, 5, 10, 6, 6, 4, 6, 7], "hlc": [921540, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [3, 7, 8, 2, 5, 6, 7, 11, 4, 4], "hlc": [921539, 10]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [3, 2, 9, 1, 5, 8, 0, 1, 7, 2], "hlc": [921539, 9]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [3, 2, 9, 1, 7, 8, 0, 4, 8, 9], "hlc": [921541, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [6, 0, 4, 1, 3, 1, 4, 1, 1, 0], "hlc": [921541, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [0, 12, 11, 2, 3, 4, 3, 7, 4, 4], "hlc": [921541, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [3, 9, 14, 2, 9, 4, 3, 10, 6, 7], "hlc": [921540, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [5, 10, 7, 7, 5, 6, 6, 7, 4, 4], "hlc": [921540, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [5, 1, 4, 5, 11, 6, 6, 4, 6, 7], "hlc": [921540, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [3, 2, 9, 1, 5, 9, 0, 1, 4, 2], "hlc": [921540, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [3, 7, 8, 2, 5, 6, 7, 12, 4, 4], "hlc": [921539, 11]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [3, 2, 9, 1, 7, 8, 0, 4, 9, 9], "hlc": [921541, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [3, 1, 2, 1, 7, 4, 0, 4, 6, 10], "hlc": [921541, 2]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [7, 9, 14, 2, 9, 4, 4, 10, 6, 7], "hlc": [921542, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [8, 9, 14, 5, 11, 6, 6, 10, 6, 7], "hlc": [921542, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [9, 9, 14, 5, 11, 8, 6, 10, 9, 9], "hlc": [921542, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [5, 10, 7, 8, 7, 6, 6, 7, 6, 10], "hlc": [921541, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [5, 10, 7, 7, 12, 6, 6, 7, 6, 7], "hlc": [921540, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [3, 2, 9, 1, 5, 9, 8, 1, 4, 2], "hlc": [921540, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [6, 7, 8, 2, 5, 6, 7, 13, 4, 4], "hlc": [921541, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [3, 7, 9, 2, 7, 8, 7, 12, 10, 9], "hlc": [921541, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [3, 12, 11, 2, 7, 4, 3, 7, 6, 11], "hlc": [921542, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [0, 13, 11, 2, 3, 4, 3, 7, 4, 4], "hlc": [921541, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [5, 10, 7, 9, 7, 6, 6, 7, 6, 10], "hlc": [921541, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [5, 10, 7, 7, 13, 6, 6, 7, 6, 7], "hlc": [921540, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [3, 2, 9, 1, 5, 9, 9, 1, 4, 2], "hlc": [921540, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [6, 7, 8, 2, 5, 6, 7, 14, 4, 4], "hlc": [921541, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [3, 7, 9, 2, 7, 8, 7, 12, 11, 9], "hlc": [921541, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [3, 12, 11, 2, 7, 4, 3, 7, 6, 12], "hlc": [921542, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [5, 14, 11, 7, 13, 6, 6, 7, 6, 7], "hlc": [921542, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [5, 15, 11, 7, 13, 6, 6, 7, 6, 12], "hlc": [921542, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [6, 10, 8, 7, 14, 6, 7, 14, 6, 7], "hlc": [921541, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [6, 10, 9, 7, 15, 8, 7, 14, 11, 9], "hlc": [921541, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [3, 2, 9, 1, 5, 10, 9, 1, 4, 2], "hlc": [921541, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [5, 10, 9, 9, 7, 8, 7, 12, 12, 10], "hlc": [921541, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [3, 13, 11, 2, 7, 4, 3, 7, 6, 13], "hlc": [921542, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [5, 16, 11, 7, 13, 6, 6, 7, 6, 12], "hlc": [921542, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [3, 9, 15, 2, 9, 4, 3, 10, 6, 7], "hlc": [921540, 8]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [5, 10, 7, 10, 7, 6, 6, 7, 6, 10], "hlc": [921541, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [3, 2, 9, 1, 5, 11, 9, 1, 4, 2], "hlc": [921541, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [3, 2, 9, 1, 5, 9, 10, 1, 4, 2], "hlc": [921540, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [6, 7, 8, 2, 5, 6, 7, 15, 4, 4], "hlc": [921541, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [3, 13, 11, 2, 7, 4, 3, 7, 6, 14], "hlc": [921542, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [10, 16, 14, 7, 13, 8, 6, 10, 9, 12], "hlc": [921543, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [11, 16, 14, 7, 13, 8, 6, 10, 9, 14], "hlc": [921543, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [5, 17, 15, 7, 13, 6, 6, 10, 6, 12], "hlc": [921542, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [5, 10, 9, 11, 7, 9, 10, 7, 6, 10], "hlc": [921541, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [6, 10, 9, 12, 7, 9, 10, 15, 6, 10], "hlc": [921541, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [5, 10, 9, 10, 7, 8, 7, 12, 13, 10], "hlc": [921541, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [3, 13, 11, 2, 7, 11, 9, 7, 6, 15], "hlc": [921543, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [12, 16, 14, 7, 13, 8, 6, 10, 9, 14], "hlc": [921543, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [5, 18, 15, 7, 13, 6, 6, 10, 6, 12], "hlc": [921542, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [6, 10, 9, 13, 7, 9, 10, 15, 6, 10], "hlc": [921541, 8]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [6, 10, 9, 7, 16, 8, 7, 14, 11, 9], "hlc": [921541, 7]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [3, 2, 9, 1, 5, 12, 9, 1, 4, 2], "hlc": [921541, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [3, 2, 9, 1, 5, 9, 11, 1, 4, 2], "hlc": [921540, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [5, 10, 9, 10, 7, 8, 7, 12, 14, 10], "hlc": [921541, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [3, 13, 11, 2, 7, 11, 9, 7, 6, 16], "hlc": [921543, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [3, 9, 16, 2, 9, 9, 11, 10, 6, 7], "hlc": [921540, 9]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [6, 10, 9, 14, 7, 9, 10, 15, 14, 10], "hlc": [921541, 9]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [12, 16, 14, 7, 17, 8, 7, 14, 11, 14], "hlc": [921543, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [5, 18, 15, 7, 13, 13, 9, 10, 6, 12], "hlc": [921542, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [6, 18, 15, 7, 16, 14, 9, 14, 11, 12], "hlc": [921542, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [3, 13, 11, 2, 7, 11, 12, 7, 6, 16], "hlc": [921543, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [6, 10, 9, 13, 7, 9, 10, 15, 15, 10], "hlc": [921541, 9]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [3, 13, 11, 2, 7, 12, 9, 7, 6, 17], "hlc": [921543, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [5, 19, 15, 7, 13, 6, 6, 10, 6, 12], "hlc": [921543, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [6, 10, 9, 15, 7, 9, 10, 15, 14, 10], "hlc": [921541, 10]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [12, 16, 14, 7, 18, 8, 7, 14, 11, 14], "hlc": [921543, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [3, 13, 11, 2, 7, 11, 13, 7, 6, 16], "hlc": [921543, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [3, 13, 11, 2, 7, 12, 9, 7, 6, 18], "hlc": [921543, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [5, 19, 17, 7, 13, 9, 11, 10, 6, 12], "hlc": [921543, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [5, 19, 18, 7, 13, 12, 11, 10, 6, 18], "hlc": [921543, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [12, 16, 14, 16, 18, 9, 10, 15, 14, 14], "hlc": [921543, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [6, 18, 15, 15, 16, 15, 10, 15, 14, 12], "hlc": [921542, 8]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [3, 13, 11, 2, 7, 12, 13, 7, 6, 19], "hlc": [921544, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [13, 16, 14, 7, 13, 8, 6, 10, 9, 14], "hlc": [921544, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [5, 20, 15, 7, 13, 6, 6, 10, 6, 12], "hlc": [921543, 1]}
