INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 45300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [6.760482230689249, -4.441189340036358, -3.122817814409686, -7.743797605351407, 3.0601919890370954, -3.116048654213432, 1.3556173456924725, 7.127247790925583, -2.8842029157658082, 2.856063253462537]
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [11, 9, 7, 7, 11, 13, 4, 3, 10, 4], "hlc": [921725, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [11, 9, 7, 7, 12, 13, 4, 3, 12, 6], "hlc": [921725, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [7, 5, 7, 7, 8, 14, 4, 7, 10, 4], "hlc": [921726, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [12, 9, 7, 11, 7, 7, 6, 3, 8, 5], "hlc": [921725, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [7, 12, 7, 9, 8, 11, 2, 6, 10, 9], "hlc": [921726, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [15, 9, 7, 3, 7, 7, 5, 3, 8, 4], "hlc": [921726, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [13, 14, 7, 9, 4, 7, 2, 6, 8, 5], "hlc": [921726, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [12, 9, 7, 12, 4, 7, 2, 3, 8, 5], "hlc": [921725, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [11, 9, 7, 7, 13, 13, 4, 3, 12, 6], "hlc": [921725, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [7, 5, 7, 7, 8, 15, 4, 7, 10, 4], "hlc": [921726, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [2, 5, 7, 7, 4, 6, 0, 3, 13, 6], "hlc": [921723, 11]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [7, 12, 7, 9, 8, 11, 2, 6, 10, 10], "hlc": [921726, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [16, 12, 7, 9, 8, 11, 5, 6, 10, 10], "hlc": [921727, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [13, 15, 7, 9, 8, 15, 4, 7, 10, 5], "hlc": [921726, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [13, 14, 13, 9, 10, 11, 2, 6, 10, 8], "hlc": [921726, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [13, 14, 14, 9, 10, 11, 2, 6, 13, 8], "hlc": [921726, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [12, 9, 7, 13, 13, 13, 4, 3, 12, 6], "hlc": [921725, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [15, 9, 7, 11, 7, 7, 7, 3, 8, 5], "hlc": [921726, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [12, 9, 7, 12, 4, 7, 2, 3, 14, 6], "hlc": [921725, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [13, 16, 7, 9, 8, 15, 4, 7, 10, 5], "hlc": [921726, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [12, 9, 7, 14, 13, 13, 4, 3, 12, 6], "hlc": [921725, 8]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [11, 9, 7, 7, 14, 13, 4, 3, 12, 6], "hlc": [921725, 7]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [7, 5, 7, 7, 8, 16, 4, 7, 10, 4], "hlc": [921726, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [15, 9, 7, 11, 7, 7, 8, 3, 8, 5], "hlc": [921726, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [12, 9, 7, 12, 4, 7, 2, 3, 15, 6], "hlc": [921725, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [17, 16, 7, 9, 8, 15, 5, 7, 10, 10], "hlc": [921727, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [12, 9, 7, 15, 14, 13, 4, 3, 12, 6], "hlc": [921725, 9]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [12, 9, 7, 14, 15, 13, 4, 3, 12, 6], "hlc": [921725, 9]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [15, 9, 7, 14, 16, 13, 8, 3, 12, 6], "hlc": [921726, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [15, 9, 7, 11, 8, 16, 9, 7, 10, 5], "hlc": [921726, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [15, 9, 7, 12, 8, 16, 10, 7, 15, 6], "hlc": [921726, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [13, 17, 7, 9, 8, 15, 4, 7, 10, 5], "hlc": [921726, 7]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [13, 14, 15, 9, 10, 11, 2, 6, 13, 8], "hlc": [921726, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [12, 9, 7, 16, 14, 13, 4, 3, 12, 6], "hlc": [921725, 10]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [15, 9, 7, 14, 17, 13, 8, 3, 12, 6], "hlc": [921726, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [7, 5, 7, 7, 8, 17, 4, 7, 10, 4], "hlc": [921726, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [15, 9, 7, 12, 8, 16, 11, 7, 15, 6], "hlc": [921726, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [1, 1, 3, 0, 1, 4, 0, 8, 6, 0], "hlc": [921728, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [7, 12, 7, 9, 8, 11, 2, 6, 10, 11], "hlc": [921726, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [13, 18, 15, 9, 10, 15, 4, 7, 13, 8], "hlc": [921726, 8]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [13, 19, 15, 9, 10, 15, 4, 8, 13, 8], "hlc": [921728, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [15, 9, 7, 17, 17, 13, 8, 3, 12, 6], "hlc": [921726, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [15, 12, 7, 14, 18, 13, 8, 6, 12, 11], "hlc": [921726, 7]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [12, 9, 7, 16, 14, 13, 4, 9, 12, 6], "hlc": [921728, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [12, 9, 7, 16, 14, 17, 4, 10, 12, 6], "hlc": [921728, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [15, 9, 7, 12, 8, 16, 11, 7, 16, 6], "hlc": [921726, 8]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [13, 17, 7, 9, 8, 15, 4, 7, 10, 12], "hlc": [921726, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [13, 20, 15, 9, 10, 15, 4, 8, 13, 8], "hlc": [921728, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [13, 14, 16, 9, 10, 11, 2, 6, 13, 8], "hlc": [921726, 8]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [15, 9, 7, 18, 17, 13, 8, 3, 12, 6], "hlc": [921726, 8]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [15, 12, 7, 14, 19, 13, 8, 6, 12, 11], "hlc": [921726, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [15, 9, 7, 12, 8, 16, 12, 7, 15, 6], "hlc": [921726, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [12, 9, 7, 16, 14, 17, 4, 11, 12, 6], "hlc": [921728, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [15, 9, 7, 12, 8, 16, 11, 7, 17, 6], "hlc": [921726, 9]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [13, 17, 7, 9, 8, 15, 4, 7, 10, 13], "hlc": [921726, 9]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [18, 17, 7, 9, 8, 15, 5, 7, 10, 13], "hlc": [921728, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [15, 21, 15, 12, 10, 16, 11, 8, 17, 8], "hlc": [921728, 3]}
