INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 39500, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-0.48313919518143633, -3.118698743003673, 2.820022420439673, 0.6018766187339608, 1.3632902781589111, 2.3712916049753687, -1.1797308063677479, -1.8421866366211952, -2.933293312555869, 1.508420287669197]
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [1, 0, 3, 0, 0, 4, 9, 6, 0, 1], "hlc": [921541, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [7, 8, 5, 7, 2, 3, 8, 2, 1, 1], "hlc": [921541, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [5, 5, 12, 7, 7, 2, 8, 2, 1, 7], "hlc": [921542, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [2, 5, 0, 9, 2, 1, 3, 1, 3, 4], "hlc": [921540, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [2, 1, 0, 5, 8, 1, 5, 2, 1, 0], "hlc": [921540, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [3, 1, 8, 5, 6, 2, 13, 5, 1, 1], "hlc": [921541, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [1, 0, 3, 0, 0, 4, 9, 7, 0, 1], "hlc": [921541, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [1, 2, 0, 0, 0, 0, 3, 3, 5, 4], "hlc": [921539, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [8, 8, 5, 7, 2, 4, 9, 7, 1, 1], "hlc": [921541, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [2, 10, 5, 9, 2, 3, 10, 2, 3, 4], "hlc": [921541, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [2, 11, 5, 9, 2, 3, 10, 3, 5, 4], "hlc": [921541, 7]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [5, 5, 13, 7, 7, 2, 13, 5, 1, 7], "hlc": [921542, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [7, 8, 5, 7, 9, 3, 8, 2, 1, 1], "hlc": [921541, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [7, 8, 12, 7, 10, 3, 8, 2, 1, 7], "hlc": [921542, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [2, 1, 0, 5, 8, 5, 5, 2, 1, 0], "hlc": [921542, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [9, 8, 5, 7, 2, 4, 9, 7, 1, 1], "hlc": [921541, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [2, 12, 5, 9, 2, 3, 10, 3, 5, 4], "hlc": [921541, 8]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [2, 5, 0, 10, 2, 1, 3, 1, 3, 4], "hlc": [921540, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [7, 8, 12, 7, 11, 3, 8, 2, 1, 7], "hlc": [921542, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [3, 1, 8, 5, 6, 2, 14, 5, 1, 1], "hlc": [921541, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [1, 0, 3, 0, 0, 4, 9, 8, 0, 1], "hlc": [921541, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [2, 3, 0, 0, 4, 0, 5, 2, 0, 8], "hlc": [921541, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [2, 13, 5, 9, 2, 4, 10, 8, 5, 4], "hlc": [921541, 9]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [5, 5, 14, 7, 7, 2, 13, 5, 1, 8], "hlc": [921543, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [3, 5, 8, 11, 6, 2, 14, 5, 3, 4], "hlc": [921541, 9]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [2, 5, 0, 10, 8, 6, 5, 2, 3, 4], "hlc": [921542, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [7, 8, 12, 10, 11, 7, 8, 2, 3, 7], "hlc": [921542, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [9, 8, 5, 7, 4, 4, 9, 7, 1, 9], "hlc": [921542, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [9, 12, 5, 9, 4, 4, 10, 7, 5, 10], "hlc": [921542, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [10, 8, 5, 7, 2, 4, 9, 7, 1, 1], "hlc": [921541, 9]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [2, 14, 5, 9, 2, 4, 10, 8, 5, 4], "hlc": [921541, 10]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [5, 5, 15, 7, 7, 2, 13, 5, 1, 8], "hlc": [921543, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [7, 8, 12, 10, 11, 8, 8, 2, 3, 7], "hlc": [921542, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [3, 1, 8, 5, 6, 2, 15, 5, 1, 1], "hlc": [921541, 9]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [11, 14, 5, 9, 2, 4, 10, 8, 5, 4], "hlc": [921541, 11]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [7, 8, 15, 7, 12, 3, 13, 5, 1, 8], "hlc": [921543, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [10, 8, 5, 7, 2, 4, 9, 9, 1, 1], "hlc": [921541, 10]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [3, 2, 8, 5, 6, 2, 15, 5, 6, 4], "hlc": [921541, 10]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [9, 12, 12, 10, 11, 8, 10, 7, 5, 11], "hlc": [921542, 8]}
