INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 44200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 4.5, actual clock drifts: [-1.9962101302354505, 3.6475323162808326, 0.09797276767256324, 1.8472757113429257, 4.1729302575125296, 4.251406150211791, 0.782136864081199, -0.2830100115701928, -3.2022135396809004, 3.8452351858718377]
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [11, 10, 11, 8, 9, 8, 9, 12, 13, 15], "hlc": [921558, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [12, 13, 11, 8, 12, 8, 9, 18, 17, 15], "hlc": [921559, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [13, 13, 11, 8, 13, 8, 9, 18, 17, 18], "hlc": [921559, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [9, 14, 10, 11, 12, 8, 3, 14, 23, 11], "hlc": [921560, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [9, 15, 10, 11, 16, 8, 3, 16, 23, 16], "hlc": [921560, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [8, 10, 13, 9, 17, 8, 3, 16, 17, 16], "hlc": [921560, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [14, 13, 11, 8, 13, 8, 9, 18, 17, 18], "hlc": [921559, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [9, 16, 10, 11, 16, 8, 3, 16, 23, 16], "hlc": [921560, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [7, 5, 14, 9, 3, 8, 3, 12, 10, 11], "hlc": [921557, 9]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [9, 11, 7, 12, 10, 8, 3, 14, 23, 11], "hlc": [921558, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [10, 5, 6, 1, 3, 12, 3, 5, 14, 9], "hlc": [921560, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [8, 10, 11, 8, 9, 8, 10, 12, 13, 15], "hlc": [921558, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [9, 11, 7, 7, 10, 8, 3, 14, 24, 11], "hlc": [921558, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [8, 10, 15, 9, 9, 8, 10, 12, 13, 15], "hlc": [921558, 7]}
