INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 45800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [-4.638606445797713, -6.427616644881452, 1.5725137029544118, 7.514017403388451, -6.145261678004413, -4.589303175339167, -4.7199962091575625, -4.427077492702441, 1.0650484831497238, 3.2060777881459046]
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [2, 2, 3, 7, 1, 2, 4, 6, 0, 7], "hlc": [921724, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [5, 1, 2, 6, 1, 2, 8, 0, 8, 5], "hlc": [921724, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [2, 2, 3, 10, 1, 1, 4, 5, 0, 2], "hlc": [921725, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [1, 1, 2, 8, 1, 6, 2, 0, 7, 2], "hlc": [921725, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [5, 1, 2, 6, 1, 2, 8, 0, 9, 5], "hlc": [921724, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [2, 2, 3, 11, 1, 6, 4, 5, 7, 2], "hlc": [921726, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [2, 2, 3, 10, 1, 7, 4, 5, 7, 2], "hlc": [921725, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [5, 1, 2, 6, 1, 2, 9, 0, 9, 5], "hlc": [921724, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [4, 6, 0, 5, 5, 0, 1, 1, 3, 2], "hlc": [921723, 8]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [2, 0, 5, 0, 0, 1, 5, 0, 0, 0], "hlc": [921720, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [2, 2, 3, 12, 1, 6, 4, 5, 7, 2], "hlc": [921726, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [1, 0, 0, 5, 6, 0, 0, 1, 0, 2], "hlc": [921723, 7]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [2, 2, 3, 10, 1, 8, 4, 5, 7, 2], "hlc": [921725, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [5, 1, 2, 6, 1, 2, 10, 0, 9, 5], "hlc": [921724, 8]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [5, 1, 2, 6, 1, 2, 8, 0, 10, 5], "hlc": [921724, 7]}
