INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 46200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [-7.536874221170184, -2.163102902069852, -0.49158393818458634, -2.4032800307980526, -6.177854574311581, -0.2822988132730373, 3.0873247499191105, 2.6639909519822567, -4.7618092520009085, 3.4190457986216174]
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [0, 0, 0, 0, 0, 0, 1, 0, 0, 8], "hlc": [921722, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [9, 4, 11, 10, 3, 0, 11, 6, 7, 6], "hlc": [921722, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [9, 6, 1, 1, 3, 6, 12, 6, 4, 6], "hlc": [921722, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [5, 2, 7, 9, 1, 8, 4, 9, 13, 8], "hlc": [921722, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [4, 1, 7, 11, 0, 0, 4, 4, 7, 9], "hlc": [921722, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [11, 4, 7, 9, 3, 0, 7, 6, 9, 5], "hlc": [921721, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [5, 7, 1, 0, 2, 6, 0, 2, 4, 1], "hlc": [921718, 9]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [9, 4, 12, 10, 3, 0, 11, 6, 7, 6], "hlc": [921722, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [1, 2, 9, 3, 7, 0, 3, 7, 7, 3], "hlc": [921720, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [5, 2, 7, 9, 1, 8, 4, 9, 14, 8], "hlc": [921722, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [4, 1, 7, 11, 0, 0, 4, 4, 7, 10], "hlc": [921722, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [4, 1, 7, 12, 0, 0, 4, 4, 7, 10], "hlc": [921722, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [5, 2, 7, 9, 1, 9, 4, 9, 14, 8], "hlc": [921722, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [11, 6, 7, 9, 3, 6, 13, 6, 9, 6], "hlc": [921723, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [11, 6, 12, 10, 3, 6, 14, 6, 9, 6], "hlc": [921723, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [5, 7, 1, 1, 2, 7, 9, 11, 4, 6], "hlc": [921722, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [5, 2, 9, 9, 7, 8, 4, 9, 15, 8], "hlc": [921722, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [12, 4, 7, 9, 3, 0, 7, 6, 9, 5], "hlc": [921721, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [9, 4, 13, 10, 3, 0, 11, 6, 7, 6], "hlc": [921722, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [11, 6, 12, 10, 3, 6, 15, 6, 9, 6], "hlc": [921723, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [5, 2, 9, 9, 7, 8, 4, 9, 16, 8], "hlc": [921722, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [11, 6, 12, 13, 3, 6, 15, 6, 9, 10], "hlc": [921723, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [9, 4, 13, 10, 8, 0, 11, 7, 7, 6], "hlc": [921722, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [11, 6, 12, 10, 7, 8, 16, 9, 16, 8], "hlc": [921723, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [12, 7, 7, 9, 3, 7, 9, 12, 9, 6], "hlc": [921723, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [9, 4, 14, 10, 3, 0, 11, 6, 7, 6], "hlc": [921722, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [11, 6, 12, 14, 3, 6, 15, 6, 9, 10], "hlc": [921723, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [9, 4, 13, 10, 9, 0, 11, 7, 7, 6], "hlc": [921722, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [11, 6, 12, 10, 7, 8, 17, 9, 16, 8], "hlc": [921723, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [12, 7, 7, 9, 3, 7, 9, 13, 9, 6], "hlc": [921723, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [5, 2, 9, 9, 7, 8, 4, 9, 17, 8], "hlc": [921722, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [4, 1, 7, 11, 0, 0, 4, 4, 7, 11], "hlc": [921723, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [13, 6, 12, 14, 3, 6, 15, 6, 9, 10], "hlc": [921723, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [9, 4, 15, 10, 9, 0, 11, 7, 7, 6], "hlc": [921722, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [9, 4, 13, 11, 10, 0, 11, 7, 7, 11], "hlc": [921723, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [11, 6, 14, 10, 7, 8, 18, 9, 16, 8], "hlc": [921724, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [12, 7, 14, 10, 7, 8, 19, 13, 16, 8], "hlc": [921724, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [12, 7, 12, 10, 7, 8, 17, 14, 16, 8], "hlc": [921723, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [12, 7, 12, 10, 7, 8, 17, 15, 17, 8], "hlc": [921723, 6]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [14, 6, 12, 14, 3, 6, 15, 6, 9, 10], "hlc": [921723, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [5, 8, 1, 0, 2, 6, 0, 2, 4, 1], "hlc": [921718, 10]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [9, 4, 16, 10, 9, 0, 11, 7, 7, 6], "hlc": [921722, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [5, 2, 7, 9, 1, 10, 4, 9, 14, 8], "hlc": [921722, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [12, 7, 12, 10, 7, 8, 17, 16, 17, 8], "hlc": [921723, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [5, 2, 9, 9, 7, 8, 4, 9, 18, 8], "hlc": [921722, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [9, 9, 16, 10, 9, 6, 11, 7, 7, 6], "hlc": [921722, 9]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [14, 7, 12, 14, 7, 8, 17, 17, 17, 10], "hlc": [921724, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [5, 8, 9, 9, 7, 8, 4, 9, 19, 8], "hlc": [921722, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [5, 8, 9, 9, 7, 10, 4, 9, 20, 8], "hlc": [921722, 8]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [12, 7, 12, 11, 7, 8, 17, 16, 17, 12], "hlc": [921724, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [12, 7, 12, 11, 7, 8, 17, 16, 18, 13], "hlc": [921724, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [15, 6, 12, 14, 3, 6, 15, 6, 9, 10], "hlc": [921723, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [9, 10, 16, 10, 9, 6, 11, 7, 7, 6], "hlc": [921722, 10]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [9, 4, 17, 10, 9, 0, 11, 7, 7, 6], "hlc": [921722, 9]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [9, 4, 13, 11, 11, 0, 11, 7, 7, 11], "hlc": [921723, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [5, 2, 7, 9, 1, 11, 4, 9, 14, 8], "hlc": [921722, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [12, 7, 14, 10, 7, 8, 20, 13, 16, 8], "hlc": [921724, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [14, 7, 12, 14, 7, 8, 17, 18, 17, 10], "hlc": [921724, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [15, 6, 18, 14, 9, 6, 15, 7, 9, 10], "hlc": [921723, 8]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [9, 10, 16, 11, 12, 6, 11, 7, 7, 11], "hlc": [921723, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [9, 10, 17, 11, 13, 6, 11, 7, 7, 11], "hlc": [921723, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [12, 7, 14, 10, 7, 11, 21, 13, 16, 8], "hlc": [921725, 0]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [14, 7, 14, 14, 7, 8, 20, 19, 17, 10], "hlc": [921724, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [12, 7, 13, 11, 11, 8, 17, 16, 18, 14], "hlc": [921725, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [14, 7, 13, 14, 11, 8, 17, 18, 18, 15], "hlc": [921725, 1]}
