INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40700, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [4.640363694966606, 1.8115185812980226, -3.4238207720767413, -1.816102556415288, -5.168889847643173, -5.128256371111185, 5.711239680492989, -3.756598256952955, 6.75546973389922, 6.948259109126912]
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [8, 1, 1, 3, 5, 0, 0, 1, 0, 1], "hlc": [921710, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [5, 7, 5, 2, 0, 5, 6, 1, 3, 4], "hlc": [921710, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [5, 8, 5, 2, 2, 5, 6, 9, 3, 4], "hlc": [921710, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [6, 1, 1, 5, 3, 0, 2, 1, 0, 7], "hlc": [921711, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [7, 5, 7, 2, 2, 5, 5, 10, 3, 4], "hlc": [921710, 8]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [0, 3, 2, 2, 2, 8, 0, 6, 4, 2], "hlc": [921712, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [7, 2, 8, 1, 0, 0, 1, 1, 0, 1], "hlc": [921709, 7]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [0, 3, 2, 2, 2, 9, 0, 6, 2, 2], "hlc": [921710, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [7, 5, 7, 2, 2, 5, 5, 11, 3, 4], "hlc": [921710, 9]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [7, 9, 8, 2, 2, 5, 6, 9, 3, 4], "hlc": [921710, 9]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [0, 3, 2, 3, 6, 9, 0, 6, 2, 2], "hlc": [921710, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [7, 5, 7, 2, 2, 8, 5, 11, 5, 4], "hlc": [921712, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [9, 1, 1, 3, 5, 0, 0, 1, 0, 1], "hlc": [921710, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [7, 2, 9, 1, 0, 0, 1, 1, 0, 1], "hlc": [921709, 8]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [0, 3, 2, 3, 7, 9, 0, 6, 2, 2], "hlc": [921710, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [5, 1, 0, 1, 0, 0, 7, 1, 3, 4], "hlc": [921711, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [7, 5, 7, 2, 2, 5, 5, 12, 3, 4], "hlc": [921710, 10]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [7, 5, 7, 2, 2, 8, 5, 11, 6, 4], "hlc": [921712, 2]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [10, 1, 1, 3, 5, 0, 7, 1, 3, 4], "hlc": [921711, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [11, 5, 7, 3, 5, 5, 7, 12, 3, 4], "hlc": [921711, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [7, 3, 10, 3, 7, 9, 1, 6, 2, 2], "hlc": [921710, 9]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [7, 5, 7, 3, 8, 9, 5, 11, 6, 4], "hlc": [921712, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [7, 2, 9, 1, 0, 0, 8, 1, 3, 4], "hlc": [921712, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [9, 5, 7, 3, 5, 8, 5, 11, 7, 4], "hlc": [921713, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 1, "vc": [12, 5, 7, 3, 5, 5, 7, 12, 3, 4], "hlc": [921711, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [7, 10, 8, 2, 2, 5, 6, 9, 3, 4], "hlc": [921710, 10]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [7, 3, 11, 3, 7, 9, 1, 6, 2, 2], "hlc": [921710, 10]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [7, 5, 7, 3, 9, 9, 5, 11, 6, 4], "hlc": [921712, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [7, 5, 7, 2, 2, 5, 5, 13, 3, 4], "hlc": [921710, 11]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [9, 5, 7, 3, 5, 8, 5, 11, 8, 4], "hlc": [921713, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [6, 1, 0, 1, 0, 0, 2, 1, 0, 8], "hlc": [921713, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [13, 10, 8, 3, 5, 5, 7, 12, 3, 4], "hlc": [921711, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 0, "vc": [12, 11, 8, 3, 5, 5, 7, 12, 3, 4], "hlc": [921711, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [9, 5, 7, 6, 5, 8, 5, 11, 8, 7], "hlc": [921713, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [7, 5, 7, 3, 10, 9, 5, 11, 6, 8], "hlc": [921713, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [7, 5, 7, 3, 9, 10, 5, 11, 6, 4], "hlc": [921712, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [7, 5, 9, 2, 2, 5, 9, 13, 3, 4], "hlc": [921712, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [7, 3, 11, 3, 7, 9, 2, 6, 2, 9], "hlc": [921713, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [14, 10, 8, 3, 5, 5, 7, 12, 3, 4], "hlc": [921711, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [12, 12, 8, 3, 5, 5, 7, 12, 3, 4], "hlc": [921711, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [7, 3, 12, 3, 7, 9, 1, 6, 2, 2], "hlc": [921710, 11]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [7, 5, 7, 3, 9, 11, 5, 11, 6, 4], "hlc": [921712, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [7, 5, 7, 2, 2, 5, 5, 14, 3, 4], "hlc": [921710, 12]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [7, 3, 11, 3, 7, 9, 2, 6, 2, 10], "hlc": [921713, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [12, 13, 8, 3, 9, 11, 7, 12, 6, 4], "hlc": [921712, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [12, 14, 11, 3, 9, 11, 7, 12, 6, 10], "hlc": [921713, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [9, 5, 7, 7, 5, 8, 5, 14, 8, 7], "hlc": [921713, 3]}
