INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 61200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [-9.061456184631695, -8.250519697238822, 6.209818130348776, -7.706574627823113, -4.908525910235845, -6.964102570915957, 4.801723083903672, -5.247978374054487, -5.511605078921284, 0.463981880650584]
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [6, 4, 1, 4, 0, 2, 8, 6, 9, 4], "hlc": [921739, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [6, 4, 1, 4, 0, 2, 6, 8, 4, 3], "hlc": [921739, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [6, 5, 1, 4, 0, 2, 8, 6, 9, 4], "hlc": [921739, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [3, 1, 6, 7, 0, 2, 2, 0, 3, 0], "hlc": [921741, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [3, 1, 7, 7, 0, 4, 2, 0, 3, 0], "hlc": [921741, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [3, 1, 5, 0, 0, 5, 2, 0, 0, 0], "hlc": [921740, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [6, 4, 1, 4, 0, 2, 6, 8, 4, 6], "hlc": [921739, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [6, 6, 1, 4, 0, 2, 8, 6, 9, 4], "hlc": [921739, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [3, 1, 8, 7, 0, 4, 2, 0, 3, 0], "hlc": [921741, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [0, 0, 1, 8, 0, 1, 0, 0, 3, 0], "hlc": [921737, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [6, 4, 1, 4, 0, 2, 9, 6, 9, 4], "hlc": [921740, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [6, 4, 1, 4, 0, 2, 6, 9, 4, 3], "hlc": [921739, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [6, 4, 1, 4, 0, 2, 6, 8, 4, 7], "hlc": [921739, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [8, 6, 1, 6, 0, 2, 8, 6, 9, 4], "hlc": [921739, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [9, 6, 1, 8, 0, 2, 8, 6, 9, 4], "hlc": [921739, 8]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [6, 4, 9, 7, 0, 4, 9, 6, 9, 4], "hlc": [921742, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [6, 4, 1, 4, 0, 2, 10, 9, 9, 4], "hlc": [921740, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [6, 4, 8, 7, 0, 4, 6, 10, 4, 3], "hlc": [921741, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [6, 4, 8, 7, 0, 4, 6, 11, 4, 7], "hlc": [921741, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 1, "vc": [10, 6, 1, 8, 0, 2, 8, 6, 9, 4], "hlc": [921739, 9]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [6, 4, 10, 7, 0, 4, 9, 6, 9, 4], "hlc": [921742, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [0, 0, 1, 9, 0, 1, 0, 0, 3, 0], "hlc": [921737, 9]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [0, 0, 1, 5, 6, 1, 3, 4, 8, 4], "hlc": [921738, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [3, 1, 5, 0, 0, 6, 2, 0, 0, 0], "hlc": [921740, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [6, 4, 8, 7, 0, 4, 6, 12, 4, 7], "hlc": [921741, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [0, 0, 1, 5, 5, 1, 3, 4, 11, 4], "hlc": [921738, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [6, 4, 1, 4, 0, 2, 6, 8, 4, 8], "hlc": [921739, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 0, "vc": [10, 7, 1, 8, 0, 2, 8, 6, 9, 4], "hlc": [921739, 10]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [10, 8, 10, 8, 0, 4, 9, 6, 9, 4], "hlc": [921742, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [10, 9, 10, 8, 6, 4, 9, 6, 9, 4], "hlc": [921742, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [0, 0, 1, 10, 5, 1, 3, 4, 11, 4], "hlc": [921738, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [0, 0, 1, 9, 7, 1, 3, 4, 8, 4], "hlc": [921738, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [6, 4, 8, 7, 0, 7, 6, 12, 4, 7], "hlc": [921741, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [6, 4, 1, 5, 5, 2, 6, 8, 12, 8], "hlc": [921739, 8]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [6, 4, 5, 4, 0, 6, 6, 8, 4, 9], "hlc": [921740, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 1, "vc": [11, 6, 1, 8, 0, 2, 8, 6, 9, 4], "hlc": [921739, 10]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [10, 10, 10, 8, 6, 4, 9, 6, 9, 4], "hlc": [921742, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [6, 4, 11, 7, 0, 4, 9, 6, 9, 4], "hlc": [921742, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [0, 0, 1, 9, 8, 1, 3, 4, 8, 4], "hlc": [921738, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [6, 4, 1, 4, 0, 2, 11, 9, 9, 4], "hlc": [921741, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [6, 4, 1, 5, 5, 2, 6, 8, 13, 8], "hlc": [921739, 9]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [6, 4, 5, 4, 0, 6, 6, 8, 4, 10], "hlc": [921740, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [12, 10, 10, 8, 6, 4, 9, 6, 9, 4], "hlc": [921742, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [13, 10, 10, 8, 6, 4, 9, 8, 13, 8], "hlc": [921742, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 0, "vc": [11, 11, 10, 8, 6, 4, 9, 6, 9, 4], "hlc": [921742, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [6, 4, 5, 9, 9, 6, 6, 8, 8, 10], "hlc": [921740, 5]}
