INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 41600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [-6.37760886140426, -4.677891036411449, 4.818395778005279, -1.867668897931563, -3.3327177088484916, -1.4985504667082843, 5.7418570015691, 0.8382237255644771, -6.3029917511800715, -2.816306075945107]
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [5, 12, 9, 5, 2, 3, 5, 6, 5, 1], "hlc": [921711, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [5, 11, 5, 5, 10, 6, 9, 9, 3, 4], "hlc": [921711, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [8, 6, 5, 7, 9, 5, 4, 9, 3, 7], "hlc": [921709, 10]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [5, 13, 0, 5, 2, 1, 5, 6, 2, 1], "hlc": [921710, 7]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [5, 12, 10, 5, 2, 3, 5, 6, 5, 1], "hlc": [921711, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [2, 5, 0, 8, 2, 5, 0, 2, 3, 4], "hlc": [921704, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [5, 9, 8, 3, 2, 8, 5, 6, 5, 4], "hlc": [921710, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [9, 6, 5, 2, 7, 3, 4, 12, 3, 1], "hlc": [921709, 10]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [8, 6, 5, 7, 9, 5, 4, 9, 3, 8], "hlc": [921709, 11]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [12, 13, 5, 5, 7, 3, 6, 11, 3, 1], "hlc": [921711, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [13, 13, 5, 5, 7, 3, 6, 12, 3, 1], "hlc": [921711, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [8, 12, 11, 7, 9, 5, 5, 9, 5, 8], "hlc": [921711, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [5, 12, 10, 9, 2, 5, 5, 6, 5, 4], "hlc": [921711, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [5, 9, 8, 8, 2, 9, 5, 6, 5, 4], "hlc": [921710, 9]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [5, 9, 8, 3, 2, 8, 5, 6, 6, 4], "hlc": [921710, 9]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [5, 14, 0, 5, 2, 1, 5, 6, 2, 1], "hlc": [921710, 8]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [8, 12, 12, 7, 9, 5, 5, 9, 5, 8], "hlc": [921711, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [5, 11, 5, 5, 11, 6, 9, 9, 3, 4], "hlc": [921711, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [5, 9, 8, 8, 2, 10, 5, 6, 5, 4], "hlc": [921710, 10]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [5, 11, 0, 5, 2, 6, 10, 6, 3, 4], "hlc": [921712, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [9, 6, 5, 2, 7, 3, 4, 13, 3, 1], "hlc": [921709, 11]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [5, 9, 8, 3, 2, 8, 5, 6, 7, 4], "hlc": [921710, 10]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [8, 6, 5, 7, 9, 5, 4, 9, 3, 9], "hlc": [921709, 12]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [14, 13, 5, 5, 7, 3, 6, 13, 3, 1], "hlc": [921711, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [8, 15, 12, 7, 9, 5, 5, 9, 5, 8], "hlc": [921711, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [8, 16, 12, 7, 11, 6, 9, 9, 5, 8], "hlc": [921711, 6]}
