INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43500, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 4.5, actual clock drifts: [-1.29904390380503, 0.9190771041927137, -0.4156935713926009, 2.7384752367699132, 0.41554211166360666, -3.8009197764417526, 0.42114031204280344, 1.0601677857580754, -2.8411008116777747, 2.464957760788095]
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [5, 0, 0, 8, 5, 1, 1, 1, 0, 2], "hlc": [921555, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [1, 0, 0, 6, 5, 5, 0, 1, 0, 2], "hlc": [921554, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [0, 0, 0, 0, 0, 0, 0, 4, 0, 0], "hlc": [921553, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [2, 0, 2, 4, 3, 1, 0, 3, 7, 0], "hlc": [921554, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [4, 0, 0, 0, 7, 1, 2, 2, 0, 7], "hlc": [921554, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [9, 0, 2, 8, 5, 3, 1, 3, 6, 2], "hlc": [921555, 2]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [10, 0, 2, 8, 5, 3, 1, 4, 6, 2], "hlc": [921555, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [11, 0, 2, 8, 5, 3, 1, 4, 7, 2], "hlc": [921555, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 0, "vc": [8, 2, 2, 4, 3, 3, 1, 3, 6, 0], "hlc": [921554, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [5, 0, 0, 9, 5, 5, 1, 1, 0, 2], "hlc": [921555, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [4, 0, 0, 0, 7, 1, 3, 2, 0, 7], "hlc": [921554, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [4, 0, 4, 0, 7, 1, 2, 2, 0, 8], "hlc": [921555, 0]}
