INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 39200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-1.3534631983329302, -2.138564589543664, 0.4992127354699649, -1.4924748262448597, 0.08732003445784375, -3.280038562311149, 0.7357142047804999, 2.1196566151809986, -3.3795911692662695, 0.8531973761167846]
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [3, 3, 12, 8, 9, 4, 7, 2, 4, 3], "hlc": [921541, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [4, 1, 1, 10, 2, 2, 2, 5, 1, 3], "hlc": [921541, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [2, 8, 1, 6, 14, 3, 4, 1, 4, 0], "hlc": [921540, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [2, 1, 1, 6, 8, 11, 4, 0, 8, 0], "hlc": [921538, 11]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [4, 3, 4, 6, 9, 8, 11, 6, 5, 0], "hlc": [921542, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [4, 0, 0, 0, 0, 0, 2, 7, 0, 0], "hlc": [921542, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [3, 7, 9, 8, 12, 9, 9, 2, 5, 13], "hlc": [921541, 3]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [3, 10, 12, 8, 9, 4, 7, 2, 4, 3], "hlc": [921541, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [4, 11, 12, 8, 9, 8, 11, 6, 5, 3], "hlc": [921542, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [3, 9, 13, 8, 9, 4, 7, 2, 4, 3], "hlc": [921541, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [4, 9, 14, 10, 9, 4, 7, 5, 4, 3], "hlc": [921541, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [4, 9, 15, 10, 12, 9, 9, 5, 5, 13], "hlc": [921541, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [4, 1, 1, 11, 2, 2, 2, 7, 1, 3], "hlc": [921542, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [3, 8, 9, 8, 14, 9, 9, 2, 5, 14], "hlc": [921541, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [3, 8, 9, 8, 14, 11, 9, 2, 8, 15], "hlc": [921541, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [10, 6, 10, 8, 8, 4, 4, 2, 7, 5], "hlc": [921540, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [4, 12, 12, 8, 9, 8, 11, 6, 5, 3], "hlc": [921542, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [4, 9, 16, 10, 12, 9, 9, 5, 5, 13], "hlc": [921541, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [2, 1, 1, 6, 8, 12, 4, 0, 8, 0], "hlc": [921538, 12]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [9, 6, 10, 8, 10, 7, 4, 2, 11, 9], "hlc": [921540, 6]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [3, 8, 9, 8, 14, 11, 9, 2, 8, 16], "hlc": [921541, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [9, 13, 12, 8, 10, 8, 11, 6, 11, 9], "hlc": [921542, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [9, 14, 12, 8, 14, 11, 11, 6, 11, 16], "hlc": [921542, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [4, 9, 17, 10, 12, 12, 9, 5, 8, 13], "hlc": [921542, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [4, 12, 12, 8, 15, 8, 11, 6, 5, 3], "hlc": [921542, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [10, 6, 10, 8, 9, 8, 12, 6, 7, 5], "hlc": [921542, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [4, 9, 16, 10, 14, 11, 9, 5, 8, 17], "hlc": [921542, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 1, "vc": [11, 6, 10, 8, 8, 4, 4, 2, 7, 5], "hlc": [921540, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [9, 15, 12, 8, 14, 11, 11, 6, 11, 16], "hlc": [921542, 7]}
