INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [-4.537673824106242, 3.529892533007592, -6.420719151964864, 0.15559342794316944, 6.940146832585171, 1.2097760378212374, -4.504086106868126, -7.334627318156334, -5.9385845191610365, -4.231313300824112]
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [2, 0, 10, 4, 7, 1, 3, 0, 0, 0], "hlc": [921712, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [1, 6, 4, 10, 1, 1, 1, 2, 5, 0], "hlc": [921709, 10]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [2, 6, 8, 8, 10, 5, 3, 2, 5, 2], "hlc": [921713, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [0, 0, 2, 0, 1, 0, 5, 7, 0, 0], "hlc": [921709, 10]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [3, 7, 2, 1, 1, 0, 4, 3, 11, 0], "hlc": [921709, 10]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [3, 4, 2, 1, 2, 7, 5, 6, 8, 7], "hlc": [921710, 9]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [6, 7, 2, 1, 5, 0, 4, 3, 11, 0], "hlc": [921711, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [3, 4, 11, 4, 7, 7, 5, 6, 8, 7], "hlc": [921712, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [5, 6, 4, 11, 5, 1, 3, 2, 5, 0], "hlc": [921711, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [5, 9, 4, 12, 5, 5, 5, 5, 5, 4], "hlc": [921711, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [2, 6, 10, 8, 11, 5, 3, 2, 5, 2], "hlc": [921713, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [2, 6, 10, 8, 12, 5, 5, 7, 5, 2], "hlc": [921713, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [1, 6, 4, 10, 1, 1, 5, 8, 5, 0], "hlc": [921709, 11]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [3, 7, 8, 8, 10, 5, 4, 3, 12, 2], "hlc": [921713, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [7, 7, 2, 1, 5, 0, 4, 3, 11, 0], "hlc": [921711, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [1, 10, 2, 1, 2, 5, 5, 5, 3, 4], "hlc": [921710, 9]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [3, 4, 12, 4, 7, 7, 5, 6, 8, 7], "hlc": [921712, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [2, 6, 10, 8, 13, 5, 5, 7, 5, 2], "hlc": [921713, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [1, 6, 4, 9, 1, 1, 8, 2, 5, 0], "hlc": [921709, 11]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [3, 7, 8, 8, 10, 5, 4, 3, 13, 2], "hlc": [921713, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [3, 11, 12, 4, 7, 7, 5, 6, 8, 7], "hlc": [921712, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [3, 7, 8, 8, 10, 9, 6, 3, 13, 2], "hlc": [921713, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [7, 7, 4, 9, 5, 1, 9, 3, 11, 0], "hlc": [921711, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [3, 10, 8, 8, 10, 5, 5, 5, 14, 4], "hlc": [921713, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [3, 10, 10, 8, 13, 5, 5, 7, 15, 4], "hlc": [921713, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [3, 6, 4, 9, 2, 7, 8, 6, 8, 8], "hlc": [921710, 10]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [8, 7, 2, 1, 5, 0, 4, 3, 11, 0], "hlc": [921711, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [3, 12, 12, 4, 7, 7, 5, 6, 8, 7], "hlc": [921712, 7]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [3, 4, 13, 4, 7, 7, 5, 6, 8, 7], "hlc": [921712, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [5, 9, 4, 13, 5, 5, 5, 5, 5, 4], "hlc": [921711, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [2, 6, 10, 8, 14, 5, 5, 7, 5, 2], "hlc": [921714, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [7, 7, 4, 9, 5, 1, 10, 3, 11, 0], "hlc": [921711, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [1, 6, 4, 10, 1, 1, 5, 9, 5, 0], "hlc": [921709, 12]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [3, 6, 4, 9, 2, 7, 8, 6, 8, 9], "hlc": [921710, 11]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [3, 13, 12, 8, 14, 7, 5, 7, 8, 7], "hlc": [921714, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [7, 7, 14, 9, 7, 7, 10, 6, 11, 7], "hlc": [921712, 7]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [7, 7, 15, 10, 7, 7, 10, 9, 11, 7], "hlc": [921712, 8]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [3, 12, 12, 8, 10, 10, 6, 6, 13, 7], "hlc": [921713, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [7, 7, 13, 9, 7, 7, 11, 6, 11, 7], "hlc": [921712, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [7, 7, 13, 9, 7, 7, 12, 6, 11, 9], "hlc": [921712, 8]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [8, 10, 10, 8, 13, 5, 5, 7, 16, 4], "hlc": [921713, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [5, 9, 4, 13, 5, 7, 8, 6, 8, 10], "hlc": [921711, 8]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [9, 7, 2, 1, 5, 0, 4, 3, 11, 0], "hlc": [921711, 8]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [5, 9, 4, 14, 5, 5, 5, 5, 5, 4], "hlc": [921711, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [3, 12, 12, 8, 10, 11, 6, 6, 13, 7], "hlc": [921713, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [7, 7, 13, 9, 7, 7, 13, 6, 11, 9], "hlc": [921712, 9]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [8, 10, 10, 8, 13, 5, 5, 7, 17, 4], "hlc": [921713, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [10, 10, 10, 8, 13, 5, 5, 7, 17, 4], "hlc": [921713, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [7, 12, 13, 9, 10, 12, 13, 6, 13, 9], "hlc": [921713, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [8, 10, 10, 14, 13, 5, 5, 7, 18, 4], "hlc": [921713, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [8, 12, 12, 14, 13, 11, 6, 7, 19, 7], "hlc": [921713, 8]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [9, 9, 4, 13, 5, 7, 8, 6, 11, 11], "hlc": [921711, 9]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [3, 14, 12, 8, 14, 7, 5, 7, 8, 7], "hlc": [921714, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [7, 7, 16, 10, 7, 7, 10, 9, 11, 7], "hlc": [921712, 9]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [7, 12, 13, 9, 10, 13, 13, 6, 13, 9], "hlc": [921713, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [7, 7, 13, 9, 7, 7, 14, 6, 11, 9], "hlc": [921712, 10]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [1, 6, 4, 10, 1, 1, 5, 10, 5, 0], "hlc": [921709, 13]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [8, 12, 12, 14, 13, 11, 6, 7, 20, 7], "hlc": [921713, 9]}
