INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 48300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [1.4760390548873974, -1.4678991170659645, -1.344117002502447, -0.05486286985758593, 2.447899180652379, 2.498927778112341, -1.2929762802271965, 1.3533827220230576, 0.03667206557709424, 1.4477243663396049]
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [10, 7, 6, 9, 11, 11, 13, 11, 7, 5], "hlc": [921530, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [13, 7, 6, 6, 9, 5, 5, 5, 7, 10], "hlc": [921529, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [9, 12, 6, 6, 7, 8, 12, 6, 7, 5], "hlc": [921530, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [10, 7, 6, 10, 11, 5, 11, 4, 7, 5], "hlc": [921529, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [10, 7, 6, 6, 13, 6, 9, 10, 7, 5], "hlc": [921530, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [9, 2, 2, 5, 6, 5, 14, 0, 1, 1], "hlc": [921528, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [7, 2, 7, 4, 5, 1, 4, 5, 10, 8], "hlc": [921528, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [13, 7, 6, 6, 9, 5, 5, 5, 7, 11], "hlc": [921529, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [9, 13, 7, 6, 7, 8, 12, 6, 10, 8], "hlc": [921530, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [10, 7, 6, 10, 11, 12, 13, 11, 7, 5], "hlc": [921531, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [9, 12, 6, 6, 7, 8, 15, 6, 7, 5], "hlc": [921530, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [13, 12, 6, 6, 9, 8, 16, 6, 7, 11], "hlc": [921530, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [13, 7, 6, 6, 13, 6, 9, 10, 7, 12], "hlc": [921530, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [13, 7, 6, 6, 13, 6, 14, 10, 7, 13], "hlc": [921530, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [14, 7, 6, 6, 9, 5, 5, 4, 7, 5], "hlc": [921530, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [9, 14, 7, 6, 7, 8, 12, 6, 10, 8], "hlc": [921530, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [10, 7, 6, 6, 14, 6, 9, 10, 7, 5], "hlc": [921531, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [1, 0, 2, 5, 6, 6, 9, 12, 2, 1], "hlc": [921530, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [10, 14, 7, 10, 11, 13, 13, 11, 10, 8], "hlc": [921531, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [14, 7, 6, 6, 9, 6, 9, 13, 7, 5], "hlc": [921530, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [10, 7, 7, 6, 14, 6, 9, 10, 11, 8], "hlc": [921531, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [10, 7, 7, 6, 14, 6, 9, 12, 12, 8], "hlc": [921531, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [15, 7, 6, 6, 9, 5, 5, 4, 7, 5], "hlc": [921530, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [9, 15, 7, 6, 7, 8, 12, 6, 10, 8], "hlc": [921530, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [10, 7, 6, 6, 15, 6, 9, 10, 7, 5], "hlc": [921531, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [13, 7, 6, 6, 13, 6, 14, 10, 7, 14], "hlc": [921530, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [16, 7, 6, 6, 15, 6, 9, 10, 7, 5], "hlc": [921531, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [13, 7, 6, 11, 13, 6, 14, 10, 7, 14], "hlc": [921530, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [15, 7, 6, 6, 16, 6, 9, 10, 7, 5], "hlc": [921532, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [13, 15, 7, 6, 9, 8, 17, 6, 10, 11], "hlc": [921530, 6]}
