INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 44500, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [4.934065913022955, 4.321506688542689, -0.7359559431406693, -0.4020311310230609, -2.8844492468372165, 6.211208571283658, -5.636824231886484, 3.7072094771019, -2.398418839343095, -2.7461644659817117]
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [6, 1, 6, 13, 2, 0, 5, 1, 4, 3], "hlc": [921695, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [5, 3, 7, 11, 6, 0, 5, 1, 4, 8], "hlc": [921694, 10]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [4, 1, 8, 7, 1, 0, 10, 1, 4, 3], "hlc": [921694, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [0, 0, 0, 0, 0, 0, 0, 3, 0, 2], "hlc": [921695, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [3, 2, 1, 7, 0, 0, 8, 1, 10, 3], "hlc": [921693, 11]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [4, 6, 7, 11, 2, 0, 8, 1, 9, 11], "hlc": [921695, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [0, 7, 0, 1, 0, 0, 0, 3, 7, 4], "hlc": [921696, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [4, 8, 7, 11, 2, 0, 8, 3, 9, 11], "hlc": [921696, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [5, 3, 9, 11, 7, 0, 5, 1, 4, 8], "hlc": [921694, 11]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [5, 3, 9, 11, 8, 0, 8, 1, 10, 8], "hlc": [921694, 12]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [5, 3, 7, 11, 6, 6, 7, 1, 6, 8], "hlc": [921698, 0]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [4, 1, 8, 7, 1, 0, 10, 4, 4, 3], "hlc": [921695, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [7, 2, 1, 7, 0, 0, 8, 1, 11, 3], "hlc": [921696, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [6, 6, 7, 13, 2, 0, 8, 1, 9, 12], "hlc": [921695, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [8, 0, 0, 4, 0, 0, 1, 1, 0, 0], "hlc": [921696, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [5, 3, 9, 11, 9, 0, 8, 1, 10, 8], "hlc": [921694, 13]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [5, 3, 7, 11, 6, 7, 7, 1, 6, 8], "hlc": [921698, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [4, 1, 8, 7, 1, 0, 11, 1, 4, 3], "hlc": [921694, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [6, 6, 7, 13, 2, 0, 8, 1, 9, 13], "hlc": [921695, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [9, 3, 9, 11, 9, 0, 8, 1, 10, 8], "hlc": [921697, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [5, 3, 10, 11, 6, 7, 7, 1, 6, 8], "hlc": [921698, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [8, 3, 7, 11, 6, 8, 7, 1, 6, 8], "hlc": [921698, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [8, 3, 8, 11, 6, 9, 11, 1, 6, 8], "hlc": [921698, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [6, 6, 8, 13, 2, 0, 12, 1, 9, 13], "hlc": [921695, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [4, 9, 7, 11, 2, 0, 8, 3, 9, 11], "hlc": [921696, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [5, 3, 11, 11, 6, 7, 7, 1, 6, 8], "hlc": [921698, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [6, 1, 6, 14, 2, 0, 5, 1, 4, 3], "hlc": [921695, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [5, 3, 9, 11, 10, 0, 8, 1, 10, 8], "hlc": [921694, 14]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [8, 3, 8, 11, 6, 10, 11, 1, 6, 8], "hlc": [921698, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [6, 6, 8, 13, 2, 0, 13, 1, 9, 13], "hlc": [921695, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [4, 1, 8, 7, 1, 0, 10, 5, 4, 3], "hlc": [921696, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [6, 6, 7, 13, 2, 0, 8, 1, 9, 14], "hlc": [921695, 7]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [5, 3, 12, 11, 10, 7, 8, 1, 10, 8], "hlc": [921698, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [8, 3, 8, 15, 6, 10, 11, 1, 6, 8], "hlc": [921698, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [8, 6, 8, 16, 6, 10, 11, 1, 9, 14], "hlc": [921698, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [8, 3, 8, 14, 6, 11, 11, 1, 6, 8], "hlc": [921699, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [6, 6, 8, 13, 2, 0, 14, 5, 9, 13], "hlc": [921696, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [4, 9, 8, 11, 2, 0, 10, 6, 9, 11], "hlc": [921696, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [6, 6, 11, 13, 6, 7, 8, 1, 9, 15], "hlc": [921698, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [6, 6, 11, 13, 6, 7, 13, 1, 9, 16], "hlc": [921698, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [10, 3, 9, 11, 9, 0, 8, 1, 10, 8], "hlc": [921697, 1]}
