INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 41800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [5.480424219494598, -9.231175906599294, 3.1231980112937663, 8.535423921479932, 6.595823411711919, -1.3379105014714963, 0.4264611855407878, -6.819227306629036, 2.8346040311422573, -0.6379613963726758]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [8, 0, 0, 5, 1, 5, 4, 4, 2, 0], "hlc": [921738, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [3, 7, 0, 1, 1, 2, 0, 3, 2, 0], "hlc": [921736, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [0, 0, 4, 5, 1, 0, 5, 4, 0, 0], "hlc": [921738, 7]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [6, 0, 0, 5, 1, 11, 4, 7, 5, 0], "hlc": [921738, 10]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [1, 0, 0, 0, 1, 0, 1, 8, 5, 0], "hlc": [921734, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [6, 6, 1, 5, 1, 9, 4, 6, 11, 4], "hlc": [921738, 10]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [9, 0, 0, 5, 1, 11, 4, 7, 5, 0], "hlc": [921738, 11]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [0, 1, 4, 5, 7, 0, 5, 4, 0, 3], "hlc": [921738, 8]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [3, 7, 0, 5, 1, 2, 7, 4, 2, 0], "hlc": [921738, 6]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [6, 7, 1, 5, 1, 9, 8, 6, 11, 4], "hlc": [921738, 11]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [8, 0, 0, 5, 1, 5, 4, 9, 5, 0], "hlc": [921738, 8]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [6, 6, 1, 5, 1, 9, 4, 8, 12, 4], "hlc": [921738, 11]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [3, 8, 0, 1, 1, 2, 0, 3, 2, 0], "hlc": [921736, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [6, 7, 1, 5, 1, 9, 9, 6, 11, 4], "hlc": [921738, 12]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [8, 0, 0, 5, 1, 5, 4, 10, 5, 0], "hlc": [921738, 9]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [1, 1, 1, 7, 6, 0, 1, 4, 4, 7], "hlc": [921739, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [7, 8, 3, 12, 1, 6, 6, 4, 9, 4], "hlc": [921741, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [6, 7, 1, 5, 1, 9, 9, 8, 13, 4], "hlc": [921738, 13]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [8, 7, 1, 5, 1, 9, 9, 10, 14, 4], "hlc": [921738, 14]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [8, 7, 1, 7, 6, 9, 9, 10, 15, 7], "hlc": [921739, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [0, 1, 4, 5, 8, 0, 5, 4, 0, 3], "hlc": [921739, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [6, 7, 1, 5, 1, 9, 10, 6, 11, 4], "hlc": [921738, 13]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [8, 7, 1, 7, 6, 9, 9, 10, 16, 7], "hlc": [921739, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [1, 1, 1, 7, 6, 0, 1, 4, 4, 8], "hlc": [921739, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [1, 1, 4, 7, 9, 0, 5, 4, 4, 8], "hlc": [921739, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [8, 7, 1, 5, 1, 9, 10, 11, 11, 4], "hlc": [921738, 14]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [1, 1, 4, 7, 8, 0, 5, 4, 4, 9], "hlc": [921739, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [8, 7, 4, 7, 8, 9, 9, 10, 16, 10], "hlc": [921739, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [3, 9, 0, 1, 1, 2, 0, 3, 2, 0], "hlc": [921736, 8]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [7, 8, 3, 13, 1, 6, 6, 4, 9, 4], "hlc": [921741, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [6, 7, 1, 5, 1, 9, 11, 6, 11, 4], "hlc": [921738, 14]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [8, 7, 1, 5, 1, 9, 10, 12, 11, 4], "hlc": [921738, 15]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [7, 8, 5, 13, 1, 6, 6, 4, 9, 4], "hlc": [921741, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [8, 8, 3, 14, 1, 9, 10, 12, 11, 4], "hlc": [921742, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [8, 9, 1, 7, 6, 9, 9, 10, 17, 7], "hlc": [921739, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [8, 7, 4, 7, 8, 9, 11, 10, 16, 11], "hlc": [921739, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [3, 10, 0, 1, 1, 2, 0, 3, 2, 0], "hlc": [921736, 9]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [1, 1, 4, 7, 10, 0, 5, 4, 4, 8], "hlc": [921740, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [6, 0, 0, 5, 1, 12, 4, 7, 5, 0], "hlc": [921738, 11]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [6, 7, 1, 5, 1, 9, 12, 6, 11, 4], "hlc": [921738, 15]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [8, 7, 1, 5, 1, 9, 10, 13, 11, 4], "hlc": [921738, 16]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [8, 9, 1, 7, 6, 9, 9, 10, 18, 7], "hlc": [921739, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [7, 8, 6, 13, 1, 9, 12, 6, 11, 4], "hlc": [921741, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [8, 9, 7, 13, 6, 9, 12, 10, 18, 7], "hlc": [921741, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [8, 7, 4, 7, 11, 9, 10, 13, 11, 8], "hlc": [921740, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [8, 10, 1, 7, 6, 9, 9, 10, 19, 7], "hlc": [921739, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [8, 7, 4, 7, 10, 9, 11, 10, 16, 12], "hlc": [921740, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [8, 7, 4, 7, 10, 12, 11, 10, 16, 13], "hlc": [921740, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [3, 11, 0, 1, 1, 2, 0, 3, 2, 0], "hlc": [921736, 10]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [8, 8, 3, 15, 1, 9, 10, 12, 11, 4], "hlc": [921742, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [8, 10, 1, 7, 6, 9, 9, 10, 20, 7], "hlc": [921739, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [8, 7, 4, 7, 10, 12, 11, 10, 16, 14], "hlc": [921740, 3]}
