INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 45900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 1.5, actual clock drifts: [0.9597124974850475, 0.6468394492244554, -1.3016824811378456, 0.9856248029604497, 0.16959612478525798, 0.7963334911451918, -1.1794142461013, 0.24045884814160345, -1.3706571917734398, 0.862760447632974]
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [5, 20, 6, 9, 10, 2, 8, 14, 2, 9], "hlc": [921213, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [5, 9, 1, 11, 11, 1, 5, 3, 5, 4], "hlc": [921213, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [6, 15, 10, 7, 8, 7, 9, 11, 2, 9], "hlc": [921213, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [5, 21, 6, 9, 10, 2, 8, 14, 2, 9], "hlc": [921213, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [4, 15, 11, 7, 8, 2, 8, 11, 2, 9], "hlc": [921211, 9]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [5, 9, 1, 12, 11, 1, 5, 3, 5, 4], "hlc": [921213, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [5, 9, 0, 1, 12, 1, 5, 3, 2, 2], "hlc": [921212, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [5, 19, 6, 9, 10, 2, 8, 15, 2, 9], "hlc": [921212, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [0, 4, 1, 5, 0, 1, 3, 1, 6, 4], "hlc": [921211, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [2, 11, 6, 7, 4, 2, 5, 5, 2, 10], "hlc": [921213, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [5, 21, 6, 13, 11, 2, 8, 14, 5, 9], "hlc": [921214, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [5, 21, 6, 14, 11, 2, 8, 14, 5, 10], "hlc": [921214, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [5, 19, 6, 9, 13, 2, 8, 15, 2, 9], "hlc": [921213, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [6, 15, 10, 12, 11, 8, 9, 11, 5, 9], "hlc": [921213, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [6, 15, 10, 12, 11, 9, 9, 11, 6, 9], "hlc": [921213, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [5, 19, 6, 9, 12, 2, 8, 16, 2, 9], "hlc": [921213, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [4, 15, 11, 7, 8, 2, 8, 11, 7, 9], "hlc": [921211, 10]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [5, 22, 6, 9, 10, 2, 8, 14, 2, 9], "hlc": [921213, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [4, 15, 12, 7, 8, 2, 8, 11, 2, 9], "hlc": [921211, 10]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [5, 21, 6, 15, 11, 2, 8, 14, 5, 10], "hlc": [921214, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [5, 19, 6, 9, 14, 2, 8, 15, 2, 9], "hlc": [921213, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [6, 15, 10, 12, 11, 10, 9, 11, 6, 9], "hlc": [921213, 4]}
