INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 38900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [0.451317948914463, -2.5030623254411446, 3.2688883761473253, 0.6052339151026747, -3.444486011903686, -3.0410168546161036, 1.7194204890545501, 2.3335325413453205, 2.038787694054383, 0.20562597648524283]
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [0, 0, 0, 0, 0, 3, 0, 0, 0, 0], "hlc": [921536, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [2, 3, 10, 0, 7, 0, 5, 1, 2, 6], "hlc": [921541, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [6, 5, 0, 0, 0, 0, 3, 0, 1, 0], "hlc": [921539, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [2, 2, 11, 0, 7, 3, 1, 1, 0, 1], "hlc": [921542, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [2, 3, 10, 0, 7, 0, 6, 1, 2, 6], "hlc": [921541, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [4, 0, 1, 3, 4, 1, 3, 4, 5, 0], "hlc": [921541, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [1, 0, 1, 4, 4, 1, 0, 0, 5, 0], "hlc": [921540, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [1, 0, 4, 1, 10, 2, 1, 1, 0, 1], "hlc": [921540, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [0, 0, 0, 0, 0, 4, 0, 0, 0, 0], "hlc": [921536, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [2, 3, 10, 0, 7, 0, 7, 1, 2, 6], "hlc": [921541, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [4, 0, 1, 3, 4, 1, 3, 5, 5, 0], "hlc": [921541, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [2, 3, 10, 0, 7, 0, 5, 1, 2, 7], "hlc": [921541, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [7, 5, 4, 1, 10, 2, 3, 1, 1, 1], "hlc": [921540, 9]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [5, 6, 1, 3, 4, 1, 3, 5, 5, 0], "hlc": [921541, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [1, 0, 4, 4, 11, 2, 1, 1, 5, 1], "hlc": [921540, 9]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [2, 3, 10, 0, 7, 5, 5, 1, 2, 7], "hlc": [921541, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [1, 0, 1, 0, 4, 4, 0, 0, 6, 0], "hlc": [921541, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [2, 3, 10, 0, 7, 4, 7, 1, 7, 6], "hlc": [921541, 8]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [8, 5, 4, 1, 10, 2, 3, 1, 1, 1], "hlc": [921540, 10]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [2, 2, 12, 0, 7, 3, 1, 1, 0, 1], "hlc": [921542, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [1, 0, 4, 4, 12, 2, 1, 1, 5, 1], "hlc": [921540, 10]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [2, 3, 10, 0, 7, 6, 5, 1, 2, 7], "hlc": [921541, 8]}
