INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 32600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 5.5, actual clock drifts: [4.582578087136238, 4.661347241719875, -2.6072762978053583, 4.244477923692438, 0.30801109752202205, 2.319896196745588, 3.768277303612054, -2.98536925244487, -3.2981121699556466, 1.7669213966819166]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [11, 5, 6, 5, 6, 4, 5, 0, 6, 1], "hlc": [921578, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [4, 8, 1, 2, 0, 0, 8, 2, 2, 3], "hlc": [921578, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [0, 5, 1, 6, 0, 0, 3, 0, 0, 0], "hlc": [921577, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [4, 1, 2, 3, 5, 11, 9, 2, 2, 5], "hlc": [921576, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [4, 1, 1, 2, 0, 0, 7, 4, 2, 0], "hlc": [921575, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [9, 5, 5, 5, 6, 4, 5, 2, 6, 8], "hlc": [921577, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [4, 9, 2, 3, 5, 11, 9, 2, 2, 5], "hlc": [921578, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [4, 5, 1, 7, 0, 0, 7, 4, 2, 0], "hlc": [921578, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [4, 8, 1, 2, 0, 0, 10, 2, 2, 3], "hlc": [921578, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [11, 5, 6, 5, 6, 4, 7, 5, 6, 1], "hlc": [921578, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [11, 5, 6, 5, 6, 4, 7, 6, 6, 8], "hlc": [921578, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [9, 5, 5, 6, 6, 4, 5, 2, 6, 9], "hlc": [921577, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [4, 10, 2, 3, 5, 11, 9, 2, 2, 5], "hlc": [921578, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [4, 5, 1, 8, 0, 0, 7, 4, 2, 0], "hlc": [921578, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [0, 1, 1, 0, 7, 1, 5, 0, 2, 0], "hlc": [921575, 8]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [12, 10, 6, 5, 6, 11, 9, 2, 6, 5], "hlc": [921579, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [5, 5, 8, 8, 5, 9, 7, 4, 6, 5], "hlc": [921578, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [4, 1, 2, 3, 7, 12, 9, 2, 2, 5], "hlc": [921576, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [13, 10, 6, 5, 6, 11, 9, 2, 6, 5], "hlc": [921579, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [4, 11, 2, 3, 5, 11, 9, 2, 2, 5], "hlc": [921579, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [4, 5, 1, 9, 0, 0, 7, 4, 2, 0], "hlc": [921578, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [0, 1, 1, 0, 8, 1, 5, 0, 2, 0], "hlc": [921575, 9]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [4, 8, 1, 2, 0, 0, 11, 2, 2, 3], "hlc": [921578, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [11, 5, 6, 5, 6, 4, 7, 7, 6, 8], "hlc": [921578, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [6, 3, 2, 3, 3, 7, 1, 0, 9, 1], "hlc": [921576, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [14, 10, 6, 5, 8, 11, 9, 2, 6, 5], "hlc": [921579, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [5, 5, 9, 9, 5, 9, 7, 4, 6, 5], "hlc": [921578, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [5, 8, 10, 9, 5, 9, 11, 4, 6, 5], "hlc": [921578, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [6, 8, 11, 9, 5, 9, 11, 4, 9, 5], "hlc": [921578, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [4, 11, 2, 3, 5, 11, 12, 2, 2, 5], "hlc": [921579, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [11, 11, 6, 5, 6, 11, 13, 7, 6, 8], "hlc": [921579, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [13, 10, 6, 5, 6, 11, 9, 2, 10, 5], "hlc": [921579, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [4, 5, 1, 10, 0, 0, 7, 4, 2, 0], "hlc": [921579, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [0, 1, 1, 0, 9, 1, 5, 0, 2, 0], "hlc": [921575, 10]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [4, 1, 2, 3, 7, 13, 9, 2, 2, 5], "hlc": [921577, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [11, 5, 6, 5, 6, 4, 7, 8, 6, 8], "hlc": [921578, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [9, 5, 5, 6, 6, 4, 5, 2, 6, 10], "hlc": [921577, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [15, 10, 6, 6, 8, 11, 9, 2, 6, 10], "hlc": [921580, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [6, 8, 12, 10, 5, 9, 11, 4, 9, 5], "hlc": [921579, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [11, 5, 6, 5, 7, 14, 9, 8, 6, 8], "hlc": [921578, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [9, 5, 5, 6, 9, 4, 5, 2, 6, 11], "hlc": [921577, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [9, 5, 5, 6, 9, 13, 9, 2, 6, 12], "hlc": [921577, 8]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [16, 10, 6, 6, 8, 11, 9, 2, 6, 10], "hlc": [921580, 1]}
