INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 60600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [7.999770279463277, -3.181810852089362, -8.06894121172104, 4.0464282901894695, -0.5252321431411922, 7.551715214138667, 2.367465263375582, 8.287410226459514, -1.1854641268384878, -6.760127648980847]
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [5, 0, 0, 0, 4, 3, 1, 2, 0, 0], "hlc": [921741, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [5, 0, 0, 0, 5, 4, 1, 2, 0, 0], "hlc": [921741, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [6, 0, 0, 0, 0, 3, 1, 0, 0, 0], "hlc": [921742, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [0, 3, 8, 0, 0, 0, 0, 1, 0, 3], "hlc": [921740, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [0, 0, 0, 0, 0, 5, 0, 0, 0, 0], "hlc": [921741, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [1, 2, 4, 1, 2, 0, 10, 2, 1, 1], "hlc": [921740, 9]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [3, 0, 0, 2, 0, 2, 1, 8, 2, 0], "hlc": [921742, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [0, 1, 5, 0, 3, 0, 0, 2, 0, 6], "hlc": [921740, 9]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [7, 2, 4, 1, 2, 3, 10, 2, 1, 1], "hlc": [921742, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [3, 5, 0, 2, 0, 2, 1, 8, 5, 0], "hlc": [921742, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [0, 3, 9, 0, 3, 0, 0, 2, 0, 6], "hlc": [921740, 10]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [6, 2, 5, 8, 3, 3, 9, 7, 4, 5], "hlc": [921742, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [6, 2, 5, 9, 3, 5, 9, 7, 4, 5], "hlc": [921742, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [0, 3, 8, 0, 0, 1, 0, 1, 6, 3], "hlc": [921740, 9]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [8, 2, 4, 1, 2, 3, 10, 2, 1, 1], "hlc": [921742, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [6, 2, 5, 10, 3, 5, 9, 7, 4, 5], "hlc": [921742, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [5, 0, 0, 0, 6, 4, 1, 2, 0, 0], "hlc": [921741, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [0, 0, 0, 0, 0, 6, 0, 0, 0, 0], "hlc": [921742, 0]}
