INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 32400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 5.5, actual clock drifts: [-4.877925451580871, 5.363436442338402, -4.029235270109824, -1.3411864748572855, -2.14275789177532, -3.7701298154795695, -4.699692344505957, -2.71360002835131, -5.085700452647195, -0.937748729269515]
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [0, 0, 6, 0, 1, 0, 0, 0, 2, 0], "hlc": [921570, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [1, 3, 2, 1, 10, 0, 2, 6, 1, 3], "hlc": [921576, 9]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [4, 5, 5, 1, 1, 0, 8, 3, 2, 0], "hlc": [921576, 8]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [0, 0, 0, 0, 0, 1, 0, 0, 5, 0], "hlc": [921570, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [11, 7, 2, 2, 10, 1, 2, 6, 4, 3], "hlc": [921577, 7]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [10, 7, 7, 2, 8, 1, 2, 6, 4, 3], "hlc": [921577, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [4, 5, 5, 1, 11, 0, 8, 6, 2, 3], "hlc": [921576, 10]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [4, 5, 5, 1, 1, 1, 9, 3, 5, 0], "hlc": [921576, 9]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [5, 12, 6, 2, 9, 4, 2, 12, 2, 6], "hlc": [921578, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [10, 7, 8, 2, 8, 1, 2, 6, 4, 3], "hlc": [921577, 8]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [4, 9, 0, 6, 0, 2, 6, 3, 1, 0], "hlc": [921577, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [4, 5, 5, 1, 12, 0, 8, 6, 2, 3], "hlc": [921576, 11]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [7, 9, 4, 4, 6, 9, 2, 8, 2, 5], "hlc": [921577, 8]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [0, 0, 0, 0, 0, 1, 0, 0, 6, 0], "hlc": [921570, 6]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [5, 5, 0, 1, 0, 0, 5, 3, 1, 8], "hlc": [921576, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [12, 7, 2, 2, 10, 1, 5, 6, 4, 8], "hlc": [921577, 8]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [10, 9, 9, 4, 8, 9, 2, 8, 4, 5], "hlc": [921577, 9]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [4, 9, 0, 7, 0, 2, 6, 3, 6, 0], "hlc": [921577, 8]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [7, 9, 4, 6, 6, 10, 6, 8, 2, 5], "hlc": [921577, 9]}
